,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 8, 2022 - 13:00 CETWorld's Edge Phoenix Legacy CRAZYx3 soloQgoats","Round 1 Round 1 January 8, 2022 - 13:00 CETWorld's Edge Phoenix Legacy CRAZYx3 soloQgoats","Round 2 Round 2 January 8, 2022 - 13:30 CETWorld's Edge SeComportaYa Trojan Fenerbahçe Esports","Round 2 Round 2 January 8, 2022 - 13:30 CETWorld's Edge SeComportaYa Trojan Fenerbahçe Esports","Round 3 Round 3 January 8, 2022 - 14:00 CETWorld's Edge SSD Morning Stars T-Rex","Round 3 Round 3 January 8, 2022 - 14:00 CETWorld's Edge SSD Morning Stars T-Rex","Round 4 Round 4 January 8, 2022 - 14:30 CETWorld's Edge ZBW UpRising Rats","Round 4 Round 4 January 8, 2022 - 14:30 CETWorld's Edge ZBW UpRising Rats","Round 5 Round 5 January 8, 2022 - 15:00 CETWorld's Edge Phoenix Legacy Game of Drones SJP2","Round 5 Round 5 January 8, 2022 - 15:00 CETWorld's Edge Phoenix Legacy Game of Drones SJP2","Round 6 Round 6 January 8, 2022 - 15:30 CETWorld's Edge Rats 1872 Game of Drones","Round 6 Round 6 January 8, 2022 - 15:30 CETWorld's Edge Rats 1872 Game of Drones"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,PXL,73,1,17,8,6,8,1,7,3,1,9,7,3
1,2.0,RAT,49,9,0,11,2,6,0,3,8,12,0,1,13
2,3.0,SCTA,49,4,2,1,8,10,8,8,0,13,0,4,4
3,4.0,USG,46,5,4,4,7,12,2,2,4,6,6,13,0
4,5.0,SJP2,44,6,3,6,0,9,3,4,4,3,4,9,8
5,6.0,SMS,42,12,3,7,4,2,8,11,5,9,3,8,1
6,7.0,GOD,41,8,0,5,3,4,2,12,1,2,5,3,2
7,8.0,TREX,40,7,0,12,0,3,5,17,3,4,8,6,5
8,9.0,SSD,38,13,1,16,0,1,12,5,3,17,1,11,3
9,10.0,1872,37,14,1,17,3,5,2,10,4,14,0,2,10
10,11.0,CRAZYx3,36,2,13,15,3,15,3,13,0,7,1,15,0
11,12.0,ZBW,35,18,0,9,2,7,5,1,7,10,1,14,0
12,13.0,FB,28,11,3,3,5,18,0,9,2,5,3,12,0
13,14.0,TRJ,28,16,0,2,4,14,0,6,6,16,0,10,3
14,15.0,SQG,17,3,3,14,0,17,0,15,3,15,1,17,0
15,16.0,AP,12,17,0,19,1,16,3,14,1,8,4,16,0
16,17.0,HKE,12,10,2,10,0,11,0,16,0,19,0,5,1
17,18.0,CLQ,10,19,0,18,3,19,0,19,0,11,6,19,0
18,19.0,WLS,8,15,2,13,3,13,0,18,0,18,0,18,0
19,20.0,backseat,0,0,0,0,0,0,0,0,0,0,0,0,0
