,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 16:00 PDTWorld's Edge Someone Sign Us GasStationGaming Literally Vibing","Round 1 Round 1 April 16, 2022 - 16:00 PDTWorld's Edge Someone Sign Us GasStationGaming Literally Vibing","Round 2 Round 2 April 16, 2022 - 16:35 PDTWorld's Edge Money Miners Void Stick Drift Op","Round 2 Round 2 April 16, 2022 - 16:35 PDTWorld's Edge Money Miners Void Stick Drift Op","Round 3 Round 3 April 16, 2022 - 17:10 PDTWorld's Edge CCE UCX Guppies Alter Ego","Round 3 Round 3 April 16, 2022 - 17:10 PDTWorld's Edge CCE UCX Guppies Alter Ego","Round 4 Round 4 April 16, 2022 - 17:45 PDTStorm Point Literally Vibing Asuras InnerNerdGaming","Round 4 Round 4 April 16, 2022 - 17:45 PDTStorm Point Literally Vibing Asuras InnerNerdGaming","Round 5 Round 5 April 16, 2022 - 18:20 PDTStorm Point Stick Drift Op Asuras CDE","Round 5 Round 5 April 16, 2022 - 18:20 PDTStorm Point Stick Drift Op Asuras CDE","Round 6 Round 6 April 16, 2022 - 18:55 PDTStorm PointMissing: optiml ambition GasStationGaming Stick Drift Op","Round 6 Round 6 April 16, 2022 - 18:55 PDTStorm PointMissing: optiml ambition GasStationGaming Stick Drift Op"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,LVG,68,3,7,16,0,19,0,1,20,10,1,5,15
1,2.0,ASUR,49,20,0,17,3,7,3,2,6,2,9,4,2
2,3.0,GSG,49,2,7,5,2,5,2,20,0,12,5,2,6
3,4.0,SSU,48,1,19,14,4,18,0,6,4,16,4,13,0
4,5.0,VOID,48,5,6,2,17,12,0,10,0,7,6,16,0
5,6.0,MM,47,14,4,1,10,9,1,12,9,17,2,10,3
6,7.0,SDO,44,8,1,3,2,6,2,9,1,1,5,3,0
7,8.0,CCE UCX,43,6,3,19,0,1,13,14,0,9,6,18,3
8,9.0,OA,38,16,1,15,2,10,1,15,0,18,0,1,18
9,10.0,Cerberus,31,12,4,6,5,15,1,8,2,4,6,12,0
10,11.0,ING,30,18,0,11,0,4,10,3,3,13,1,8,0
11,12.0,North,29,7,4,4,2,11,1,13,0,8,6,14,3
12,13.0,CDE,26,13,0,9,3,8,0,5,5,3,0,11,1
13,14.0,AE,24,9,0,10,1,3,2,4,1,19,0,7,1
14,15.0,Guppies,22,10,0,18,0,2,7,18,0,15,1,9,0
15,16.0,TDG,17,4,1,12,0,20,0,7,0,5,3,19,0
16,17.0,BBB,16,19,0,20,0,13,0,16,0,6,5,6,4
17,18.0,SKSQ,14,11,0,7,3,17,4,17,3,20,0,17,0
18,19.0,iRL,13,17,0,8,2,16,6,19,0,11,1,15,0
19,20.0,CIMJ,12,15,0,13,0,14,4,11,3,14,0,20,0
