,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 12:00 PDTStorm Point Wingman Season BLVKHVND Tripods","Round 1 Round 1 April 16, 2022 - 12:00 PDTStorm Point Wingman Season BLVKHVND Tripods","Round 2 Round 2 April 16, 2022 - 12:35 PDTStorm Point Asteria Redeem CDE","Round 2 Round 2 April 16, 2022 - 12:35 PDTStorm Point Asteria Redeem CDE","Round 3 Round 3 April 16, 2022 - 13:10 PDTStorm Point HCH Redeem Alter Ego","Round 3 Round 3 April 16, 2022 - 13:10 PDTStorm Point HCH Redeem Alter Ego","Round 4 Round 4 April 16, 2022 - 13:45 PDTWorld's Edge Washed SHEEEEEEESH Tripods","Round 4 Round 4 April 16, 2022 - 13:45 PDTWorld's Edge Washed SHEEEEEEESH Tripods","Round 5 Round 5 April 16, 2022 - 14:20 PDTWorld's Edge Wingman Season Washed TPM","Round 5 Round 5 April 16, 2022 - 14:20 PDTWorld's Edge Wingman Season Washed TPM","Round 6 Round 6 April 16, 2022 - 14:55 PDTWorld's Edge Redeem HCH Asteria","Round 6 Round 6 April 16, 2022 - 14:55 PDTWorld's Edge Redeem HCH Asteria"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,WING,65,1,10,7,3,9,2,16,0,1,17,9,2
1,2.0,RDM,62,20,0,2,10,2,0,17,2,6,6,1,11
2,3.0,HCH,61,12,4,17,1,1,14,6,7,18,1,2,9
3,4.0,TRP,58,3,12,12,4,6,6,3,11,13,5,11,0
4,5.0,WASH,56,16,3,20,0,19,0,1,18,2,3,6,8
5,6.0,TPM,43,19,0,13,4,7,4,12,2,3,10,5,7
6,7.0,AST,42,6,2,1,6,5,4,19,0,15,0,3,3
7,8.0,CAS,35,7,5,4,5,15,2,15,0,4,6,10,0
8,9.0,HVND,33,2,1,10,2,4,10,13,2,12,0,18,0
9,10.0,SHEESH,29,9,0,8,6,12,3,2,4,14,1,20,0
10,11.0,CDE,26,4,2,3,3,13,3,18,2,20,0,14,2
11,12.0,AE,26,17,0,9,4,3,3,4,0,17,0,4,0
12,13.0,North,22,5,2,11,2,8,4,20,1,9,1,15,2
13,14.0,SSU,21,14,4,19,0,20,0,7,1,10,0,7,7
14,15.0,LVG,19,15,5,15,1,16,0,5,1,11,1,13,3
15,16.0,TDG,19,13,0,5,3,14,0,8,3,5,1,17,0
16,17.0,OA,17,11,1,6,4,10,0,10,2,19,0,12,1
17,18.0,Cerberus,14,18,0,18,0,11,0,14,0,7,6,8,1
18,19.0,ASUR,11,8,2,14,1,17,3,11,0,16,0,16,1
19,20.0,CIMJ,11,10,3,16,0,18,0,9,2,8,0,19,0
