Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,HCH,68,5,3,12,3,1,8,2,9,5,6,11,0,Finals
2.0,WING,67,1,16,16,1,2,9,8,2,12,1,6,1,Finals
3.0,MM,56,14,1,4,7,4,3,19,0,1,12,4,5,Finals
4.0,RDM,53,6,6,17,2,3,11,17,1,17,0,2,5,Finals
5.0,SHEESH,45,9,2,7,5,7,2,1,8,19,0,10,5,Finals
6.0,TPM,44,10,5,1,11,8,5,18,0,13,1,17,0,Finals
7.0,AST,43,15,0,3,5,13,0,3,5,9,1,5,6,Finals
8.0,HVND,41,2,7,9,2,9,3,12,2,11,3,9,5,Finals
9.0,SDO,40,3,3,5,1,5,3,14,0,2,8,19,0,Finals
10.0,SSU,30,17,0,6,2,10,0,4,9,18,0,7,6,Finals
11.0,CAS,30,12,1,10,0,14,5,7,3,4,2,8,2,Finals
12.0,VOID,30,19,0,19,0,18,0,5,1,6,1,1,9,Finals
13.0,TRP,28,18,0,13,6,19,1,16,1,10,10,18,0,Finals
14.0,ASUR,27,4,0,18,0,6,2,10,4,7,0,3,1,Finals
15.0,CCE UCX,26,11,3,11,3,11,3,9,6,8,1,12,2,Finals
16.0,GSG,24,8,3,8,1,15,0,6,2,3,3,16,0,Finals
17.0,WASH,19,13,0,14,0,12,1,15,0,15,3,14,3,Finals
18.0,Cerberus,18,16,1,2,2,17,1,11,0,16,0,15,3,Finals
19.0,OA,11,7,2,15,0,16,1,13,0,14,1,13,0,Finals
20.0,LVG,0,0,0,0,0,0,0,0,0,0,0,0,0,Finals
1.0,LVG,68,3,7,16,0,19,0,1,20,10,1,5,15,Losers_Bracket
2.0,ASUR,49,20,0,17,3,7,3,2,6,2,9,4,2,Losers_Bracket
3.0,GSG,49,2,7,5,2,5,2,20,0,12,5,2,6,Losers_Bracket
4.0,SSU,48,1,19,14,4,18,0,6,4,16,4,13,0,Losers_Bracket
5.0,VOID,48,5,6,2,17,12,0,10,0,7,6,16,0,Losers_Bracket
6.0,MM,47,14,4,1,10,9,1,12,9,17,2,10,3,Losers_Bracket
7.0,SDO,44,8,1,3,2,6,2,9,1,1,5,3,0,Losers_Bracket
8.0,CCE UCX,43,6,3,19,0,1,13,14,0,9,6,18,3,Losers_Bracket
9.0,OA,38,16,1,15,2,10,1,15,0,18,0,1,18,Losers_Bracket
10.0,Cerberus,31,12,4,6,5,15,1,8,2,4,6,12,0,Losers_Bracket
11.0,ING,30,18,0,11,0,4,10,3,3,13,1,8,0,Losers_Bracket
12.0,North,29,7,4,4,2,11,1,13,0,8,6,14,3,Losers_Bracket
13.0,CDE,26,13,0,9,3,8,0,5,5,3,0,11,1,Losers_Bracket
14.0,AE,24,9,0,10,1,3,2,4,1,19,0,7,1,Losers_Bracket
15.0,Guppies,22,10,0,18,0,2,7,18,0,15,1,9,0,Losers_Bracket
16.0,TDG,17,4,1,12,0,20,0,7,0,5,3,19,0,Losers_Bracket
17.0,BBB,16,19,0,20,0,13,0,16,0,6,5,6,4,Losers_Bracket
18.0,SKSQ,14,11,0,7,3,17,4,17,3,20,0,17,0,Losers_Bracket
19.0,iRL,13,17,0,8,2,16,6,19,0,11,1,15,0,Losers_Bracket
20.0,CIMJ,12,15,0,13,0,14,4,11,3,14,0,20,0,Losers_Bracket
1.0,WING,65,1,10,7,3,9,2,16,0,1,17,9,2,Winners_Bracket
2.0,RDM,62,20,0,2,10,2,0,17,2,6,6,1,11,Winners_Bracket
3.0,HCH,61,12,4,17,1,1,14,6,7,18,1,2,9,Winners_Bracket
4.0,TRP,58,3,12,12,4,6,6,3,11,13,5,11,0,Winners_Bracket
5.0,WASH,56,16,3,20,0,19,0,1,18,2,3,6,8,Winners_Bracket
6.0,TPM,43,19,0,13,4,7,4,12,2,3,10,5,7,Winners_Bracket
7.0,AST,42,6,2,1,6,5,4,19,0,15,0,3,3,Winners_Bracket
8.0,CAS,35,7,5,4,5,15,2,15,0,4,6,10,0,Winners_Bracket
9.0,HVND,33,2,1,10,2,4,10,13,2,12,0,18,0,Winners_Bracket
10.0,SHEESH,29,9,0,8,6,12,3,2,4,14,1,20,0,Winners_Bracket
11.0,CDE,26,4,2,3,3,13,3,18,2,20,0,14,2,Winners_Bracket
12.0,AE,26,17,0,9,4,3,3,4,0,17,0,4,0,Winners_Bracket
13.0,North,22,5,2,11,2,8,4,20,1,9,1,15,2,Winners_Bracket
14.0,SSU,21,14,4,19,0,20,0,7,1,10,0,7,7,Winners_Bracket
15.0,LVG,19,15,5,15,1,16,0,5,1,11,1,13,3,Winners_Bracket
16.0,TDG,19,13,0,5,3,14,0,8,3,5,1,17,0,Winners_Bracket
17.0,OA,17,11,1,6,4,10,0,10,2,19,0,12,1,Winners_Bracket
18.0,Cerberus,14,18,0,18,0,11,0,14,0,7,6,8,1,Winners_Bracket
19.0,ASUR,11,8,2,14,1,17,3,11,0,16,0,16,1,Winners_Bracket
20.0,CIMJ,11,10,3,16,0,18,0,9,2,8,0,19,0,Winners_Bracket
