Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend
1.0,HCH,68.0,5.0,3.0,12.0,3.0,1.0,8.0,2.0,9.0,5.0,6.0,11.0,0.0,Finals,Last_Chance_Qualifier_1,
2.0,WING,67.0,1.0,16.0,16.0,1.0,2.0,9.0,8.0,2.0,12.0,1.0,6.0,1.0,Finals,Last_Chance_Qualifier_1,
3.0,MM,56.0,14.0,1.0,4.0,7.0,4.0,3.0,19.0,0.0,1.0,12.0,4.0,5.0,Finals,Last_Chance_Qualifier_1,
4.0,RDM,53.0,6.0,6.0,17.0,2.0,3.0,11.0,17.0,1.0,17.0,0.0,2.0,5.0,Finals,Last_Chance_Qualifier_1,
5.0,SHEESH,45.0,9.0,2.0,7.0,5.0,7.0,2.0,1.0,8.0,19.0,0.0,10.0,5.0,Finals,Last_Chance_Qualifier_1,
6.0,TPM,44.0,10.0,5.0,1.0,11.0,8.0,5.0,18.0,0.0,13.0,1.0,17.0,0.0,Finals,Last_Chance_Qualifier_1,
7.0,AST,43.0,15.0,0.0,3.0,5.0,13.0,0.0,3.0,5.0,9.0,1.0,5.0,6.0,Finals,Last_Chance_Qualifier_1,
8.0,HVND,41.0,2.0,7.0,9.0,2.0,9.0,3.0,12.0,2.0,11.0,3.0,9.0,5.0,Finals,Last_Chance_Qualifier_1,
9.0,SDO,40.0,3.0,3.0,5.0,1.0,5.0,3.0,14.0,0.0,2.0,8.0,19.0,0.0,Finals,Last_Chance_Qualifier_1,
10.0,SSU,30.0,17.0,0.0,6.0,2.0,10.0,0.0,4.0,9.0,18.0,0.0,7.0,6.0,Finals,Last_Chance_Qualifier_1,
11.0,CAS,30.0,12.0,1.0,10.0,0.0,14.0,5.0,7.0,3.0,4.0,2.0,8.0,2.0,Finals,Last_Chance_Qualifier_1,
12.0,VOID,30.0,19.0,0.0,19.0,0.0,18.0,0.0,5.0,1.0,6.0,1.0,1.0,9.0,Finals,Last_Chance_Qualifier_1,
13.0,TRP,28.0,18.0,0.0,13.0,6.0,19.0,1.0,16.0,1.0,10.0,10.0,18.0,0.0,Finals,Last_Chance_Qualifier_1,
14.0,ASUR,27.0,4.0,0.0,18.0,0.0,6.0,2.0,10.0,4.0,7.0,0.0,3.0,1.0,Finals,Last_Chance_Qualifier_1,
15.0,CCE UCX,26.0,11.0,3.0,11.0,3.0,11.0,3.0,9.0,6.0,8.0,1.0,12.0,2.0,Finals,Last_Chance_Qualifier_1,
16.0,GSG,24.0,8.0,3.0,8.0,1.0,15.0,0.0,6.0,2.0,3.0,3.0,16.0,0.0,Finals,Last_Chance_Qualifier_1,
17.0,WASH,19.0,13.0,0.0,14.0,0.0,12.0,1.0,15.0,0.0,15.0,3.0,14.0,3.0,Finals,Last_Chance_Qualifier_1,
18.0,Cerberus,18.0,16.0,1.0,2.0,2.0,17.0,1.0,11.0,0.0,16.0,0.0,15.0,3.0,Finals,Last_Chance_Qualifier_1,
19.0,OA,11.0,7.0,2.0,15.0,0.0,16.0,1.0,13.0,0.0,14.0,1.0,13.0,0.0,Finals,Last_Chance_Qualifier_1,
20.0,LVG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Finals,Last_Chance_Qualifier_1,
1.0,LVG,68.0,3.0,7.0,16.0,0.0,19.0,0.0,1.0,20.0,10.0,1.0,5.0,15.0,Losers_Bracket,Last_Chance_Qualifier_1,
2.0,ASUR,49.0,20.0,0.0,17.0,3.0,7.0,3.0,2.0,6.0,2.0,9.0,4.0,2.0,Losers_Bracket,Last_Chance_Qualifier_1,
3.0,GSG,49.0,2.0,7.0,5.0,2.0,5.0,2.0,20.0,0.0,12.0,5.0,2.0,6.0,Losers_Bracket,Last_Chance_Qualifier_1,
4.0,SSU,48.0,1.0,19.0,14.0,4.0,18.0,0.0,6.0,4.0,16.0,4.0,13.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
5.0,VOID,48.0,5.0,6.0,2.0,17.0,12.0,0.0,10.0,0.0,7.0,6.0,16.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
6.0,MM,47.0,14.0,4.0,1.0,10.0,9.0,1.0,12.0,9.0,17.0,2.0,10.0,3.0,Losers_Bracket,Last_Chance_Qualifier_1,
7.0,SDO,44.0,8.0,1.0,3.0,2.0,6.0,2.0,9.0,1.0,1.0,5.0,3.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
8.0,CCE UCX,43.0,6.0,3.0,19.0,0.0,1.0,13.0,14.0,0.0,9.0,6.0,18.0,3.0,Losers_Bracket,Last_Chance_Qualifier_1,
9.0,OA,38.0,16.0,1.0,15.0,2.0,10.0,1.0,15.0,0.0,18.0,0.0,1.0,18.0,Losers_Bracket,Last_Chance_Qualifier_1,
10.0,Cerberus,31.0,12.0,4.0,6.0,5.0,15.0,1.0,8.0,2.0,4.0,6.0,12.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
11.0,ING,30.0,18.0,0.0,11.0,0.0,4.0,10.0,3.0,3.0,13.0,1.0,8.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
12.0,North,29.0,7.0,4.0,4.0,2.0,11.0,1.0,13.0,0.0,8.0,6.0,14.0,3.0,Losers_Bracket,Last_Chance_Qualifier_1,
13.0,CDE,26.0,13.0,0.0,9.0,3.0,8.0,0.0,5.0,5.0,3.0,0.0,11.0,1.0,Losers_Bracket,Last_Chance_Qualifier_1,
14.0,AE,24.0,9.0,0.0,10.0,1.0,3.0,2.0,4.0,1.0,19.0,0.0,7.0,1.0,Losers_Bracket,Last_Chance_Qualifier_1,
15.0,Guppies,22.0,10.0,0.0,18.0,0.0,2.0,7.0,18.0,0.0,15.0,1.0,9.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
16.0,TDG,17.0,4.0,1.0,12.0,0.0,20.0,0.0,7.0,0.0,5.0,3.0,19.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
17.0,BBB,16.0,19.0,0.0,20.0,0.0,13.0,0.0,16.0,0.0,6.0,5.0,6.0,4.0,Losers_Bracket,Last_Chance_Qualifier_1,
18.0,SKSQ,14.0,11.0,0.0,7.0,3.0,17.0,4.0,17.0,3.0,20.0,0.0,17.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
19.0,iRL,13.0,17.0,0.0,8.0,2.0,16.0,6.0,19.0,0.0,11.0,1.0,15.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
20.0,CIMJ,12.0,15.0,0.0,13.0,0.0,14.0,4.0,11.0,3.0,14.0,0.0,20.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
