Standings,Team.1,Total,Lobby
1.0,NVKT,63,Lobby 10
2.0,EST,56,Lobby 10
3.0,NM,39,Lobby 10
4.0,Distruttori Team,37,Lobby 10
5.0,Sniper Meta,36,Lobby 10
6.0,Tijuana Piranas,35,Lobby 10
7.0,MAP,24,Lobby 10
8.0,1 vs Lobby,23,Lobby 10
9.0,2 Zoomers1boomer,21,Lobby 10
10.0,The Big 3,19,Lobby 10
11.0,Vault Hunters,17,Lobby 10
12.0,Impulsive Gaming,15,Lobby 10
13.0,Team Boomer,8,Lobby 10
14.0,Dominators,7,Lobby 10
15.0,Guys Being Dudes,5,Lobby 10
16.0,EKO,3,Lobby 10
17.0,KThrewLife,2,Lobby 10
18.0,Team SlamJam,2,Lobby 10
19.0,Cod kids,1,Lobby 10
20.0,Watson 2 Strong,0,Lobby 10
1.0,NEAN,58,Lobby 11
2.0,AM,51,Lobby 11
3.0,Lethal Villains,43,Lobby 11
4.0,TPM,35,Lobby 11
5.0,FROG,32,Lobby 11
6.0,Swanky Boys,30,Lobby 11
7.0,GNR,28,Lobby 11
8.0,Sussy Bakas,27,Lobby 11
9.0,Shibby,23,Lobby 11
10.0,JIN,23,Lobby 11
11.0,Anarchy,17,Lobby 11
12.0,TheBidetBoys,12,Lobby 11
13.0,Spicy,12,Lobby 11
14.0,JEAGERS,7,Lobby 11
15.0,Team HitX,7,Lobby 11
16.0,Stuck Diamonds,5,Lobby 11
17.0,Int Us Harder,4,Lobby 11
18.0,TTN CRIO,4,Lobby 11
19.0,MexicanPowerTeam,0,Lobby 11
20.0,Godz of deci,0,Lobby 11
1.0,Lonely Fans,81,Lobby 12
2.0,RT,53,Lobby 12
3.0,Unlucky,43,Lobby 12
4.0,En corto Garmers,39,Lobby 12
5.0,Corruption,26,Lobby 12
6.0,Dunk Squad,21,Lobby 12
7.0,Los Hefes,21,Lobby 12
8.0,trippinoncables,21,Lobby 12
9.0,TAG NA,20,Lobby 12
10.0,Laggy 'n Rollers,19,Lobby 12
11.0,Mid Piece,17,Lobby 12
12.0,Captains,13,Lobby 12
13.0,ChayKayJay,13,Lobby 12
14.0,LF,12,Lobby 12
15.0,Zachs Chest Hair,12,Lobby 12
16.0,Kaged,10,Lobby 12
17.0,Them Boiz,6,Lobby 12
18.0,The Other Guys,5,Lobby 12
19.0,Eternal x Beasts,4,Lobby 12
20.0,Spood Beest,4,Lobby 12
1.0,2B1C,68,Lobby 13
2.0,ForcesGG,65,Lobby 13
3.0,PUBS,61,Lobby 13
4.0,BOT,49,Lobby 13
5.0,WASH,37,Lobby 13
6.0,RISK,21,Lobby 13
7.0,Hold The Door,20,Lobby 13
8.0,Filii Martis,20,Lobby 13
9.0,LNT,17,Lobby 13
10.0,Yess,14,Lobby 13
11.0,Anfield,12,Lobby 13
12.0,ATRX,12,Lobby 13
13.0,Shady Kings,11,Lobby 13
14.0,UnderWorldGaming,11,Lobby 13
15.0,Team_Supr3me,7,Lobby 13
16.0,Tater,6,Lobby 13
17.0,TheCerealKillers,6,Lobby 13
18.0,RLP,4,Lobby 13
19.0,NoGiveupGaming,2,Lobby 13
20.0,Dark Matter,2,Lobby 13
1.0,Dark Matter,60,Lobby 14
2.0,Content Squad,49,Lobby 14
3.0,Movement Temple,41,Lobby 14
4.0,Blockbuster,39,Lobby 14
5.0,Team Name,35,Lobby 14
6.0,UNDD,29,Lobby 14
7.0,TeamDreams,23,Lobby 14
8.0,JOYBOYS,23,Lobby 14
9.0,Plimbo,20,Lobby 14
10.0,Wonderboys,18,Lobby 14
11.0,NOXIOUS,18,Lobby 14
12.0,PradoHouseCigar,18,Lobby 14
13.0,Buds and Beer,17,Lobby 14
14.0,Iron Giant,14,Lobby 14
15.0,DarkRoyalNation,13,Lobby 14
16.0,Evil Eye,10,Lobby 14
17.0,Miso Hate Club,3,Lobby 14
18.0,Spacelanders,2,Lobby 14
19.0,Just The Boys,2,Lobby 14
20.0,TAT,1,Lobby 14
1.0,Jacked and Tan,106,Lobby 15
2.0,UORG,47,Lobby 15
3.0,GearsKidsonApex,31,Lobby 15
4.0,MoJo,29,Lobby 15
5.0,Specter,29,Lobby 15
6.0,Raised By Wolves,23,Lobby 15
7.0,Black Panthers,22,Lobby 15
8.0,Elation Esports,22,Lobby 15
9.0,G7 Legends,18,Lobby 15
10.0,WPH,18,Lobby 15
11.0,4 Told,17,Lobby 15
12.0,Onyx,17,Lobby 15
13.0,Chefs,14,Lobby 15
14.0,MoonStone,9,Lobby 15
15.0,CastAways,6,Lobby 15
16.0,Sopa de Mancos,5,Lobby 15
17.0,SolarImpact,2,Lobby 15
18.0,BobaBallers,2,Lobby 15
19.0,Lights Out,0,Lobby 15
20.0,TTN ALPHA,0,Lobby 15
1.0,Unsigned Talent,73,Lobby 16
2.0,OrgSignUs,46,Lobby 16
3.0,SUP,44,Lobby 16
4.0,IFE,41,Lobby 16
5.0,BAD,37,Lobby 16
6.0,C K 8,25,Lobby 16
7.0,VHS,21,Lobby 16
8.0,Blood Sport,21,Lobby 16
9.0,Intertainers,20,Lobby 16
10.0,Adonitology,20,Lobby 16
11.0,Dee Em Zee,18,Lobby 16
12.0,Global,17,Lobby 16
13.0,Yuzu Dog,14,Lobby 16
14.0,Devils x Death,8,Lobby 16
15.0,Baecation,8,Lobby 16
16.0,El Sindicato,6,Lobby 16
17.0,Shadow IllusionZ,6,Lobby 16
18.0,Silhouette,5,Lobby 16
19.0,Aim Botz,3,Lobby 16
20.0,Solus,0,Lobby 16
1.0,BW,92,Lobby 1
2.0,Spooky Scary,49,Lobby 1
3.0,OA,43,Lobby 1
4.0,CLX,38,Lobby 1
5.0,Insane Xboxsers,32,Lobby 1
6.0,The Not Squad,31,Lobby 1
7.0,RCO,24,Lobby 1
8.0,PWM,22,Lobby 1
9.0,Bot Squad,20,Lobby 1
10.0,TEAM Workaholics,18,Lobby 1
11.0,Team Animo,13,Lobby 1
12.0,6ide,11,Lobby 1
13.0,Ampedant,8,Lobby 1
14.0,JustSomeNewGuys,7,Lobby 1
15.0,ParkingLotBirds,7,Lobby 1
16.0,Chud Bungus,3,Lobby 1
17.0,HololiveDXD,3,Lobby 1
18.0,Azakana,2,Lobby 1
19.0,Team Shadow Wolf,1,Lobby 1
20.0,KingsVictoryClub,0,Lobby 1
1.0,DNO,123,Lobby 2
2.0,ING,49,Lobby 2
3.0,2Sticks1Musician,40,Lobby 2
4.0,Hooiya,30,Lobby 2
5.0,ROT,23,Lobby 2
6.0,Controller Bots,20,Lobby 2
7.0,TOAOS GG,20,Lobby 2
8.0,Apex orphans,15,Lobby 2
9.0,Hardstuck10k,14,Lobby 2
10.0,Nobody,13,Lobby 2
11.0,Tokyo manji,12,Lobby 2
12.0,Shadow Point,12,Lobby 2
13.0,XcellentEra,12,Lobby 2
14.0,Kaen Esports,10,Lobby 2
15.0,Bull Gang,10,Lobby 2
16.0,The Monke Men,9,Lobby 2
17.0,Kox Gaming,9,Lobby 2
18.0,Monke Mode 3B,9,Lobby 2
19.0,UBC Blue,1,Lobby 2
20.0,Forever Gaming,1,Lobby 2
1.0,SMP,111,Lobby 3
2.0,Hi,33,Lobby 3
3.0,Team Asesinos,29,Lobby 3
4.0,SQS Gaming,25,Lobby 3
5.0,Dumpsters,24,Lobby 3
6.0,WeBall,23,Lobby 3
7.0,High Dexterity,22,Lobby 3
8.0,Team Pepinito,21,Lobby 3
9.0,AGL,21,Lobby 3
10.0,We Lose,19,Lobby 3
11.0,Sleepy Hut,18,Lobby 3
12.0,Pipeliners,17,Lobby 3
13.0,SW,16,Lobby 3
14.0,Selfish Team,15,Lobby 3
15.0,KDT,12,Lobby 3
16.0,TS,10,Lobby 3
17.0,The Loud Boys,9,Lobby 3
18.0,Fallen Legacy,5,Lobby 3
19.0,Insurgents,4,Lobby 3
20.0,MEAL Team 6,0,Lobby 3
1.0,SXG,69,Lobby 4
2.0,My Neck My Back,53,Lobby 4
3.0,NBL,46,Lobby 4
4.0,AGLY,32,Lobby 4
5.0,Team Sanitizer,30,Lobby 4
6.0,gibbyhands,23,Lobby 4
7.0,On They Ayy,23,Lobby 4
8.0,The Semi Pros,23,Lobby 4
9.0,SBD,22,Lobby 4
10.0,Titanes,20,Lobby 4
