,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,SMP,111,111
1,2.0,Hi,33,33
2,3.0,Team Asesinos,29,29
3,4.0,SQS Gaming,25,25
4,5.0,Dumpsters,24,24
5,6.0,WeBall,23,23
6,7.0,High Dexterity,22,22
7,8.0,Team Pepinito,21,21
8,9.0,AGL,21,21
9,10.0,We Lose,19,19
10,11.0,Sleepy Hut,18,18
11,12.0,Pipeliners,17,17
12,13.0,SW,16,16
13,14.0,Selfish Team,15,15
14,15.0,KDT,12,12
15,16.0,TS,10,10
16,17.0,The Loud Boys,9,9
17,18.0,Fallen Legacy,5,5
18,19.0,Insurgents,4,4
19,20.0,MEAL Team 6,0,0
