Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,BW,106,1,8,1,12,4,8,1,7,2,8,2,4,Lobby 1
2.0,BP,56,5,9,12,2,5,6,17,0,17,3,1,15,Lobby 1
3.0,DNO,50,19,1,18,0,7,6,2,8,4,9,5,5,Lobby 1
4.0,YouLikeThatMate?,46,7,0,6,2,1,12,4,4,8,1,10,0,Lobby 1
5.0,xD,45,8,5,2,8,19,0,13,2,5,6,6,5,Lobby 1
6.0,NBL,44,3,2,17,0,2,6,12,0,9,0,3,10,Lobby 1
7.0,LMX,43,11,0,3,3,11,3,11,4,1,8,8,1,Lobby 1
8.0,LZR,38,4,6,13,0,3,7,8,1,7,5,11,0,Lobby 1
9.0,CLX,35,10,5,5,7,6,0,6,3,12,1,14,5,Lobby 1
10.0,SMP,33,6,6,9,4,14,0,10,5,6,1,4,1,Lobby 1
11.0,SXG,31,20,0,14,3,20,0,14,3,3,12,12,3,Lobby 1
12.0,Vandals,27,2,7,15,0,10,0,9,1,11,1,9,1,Lobby 1
13.0,LVG,21,17,0,4,1,18,0,3,8,16,0,16,0,Lobby 1
14.0,Never Lucky,16,12,1,8,2,8,2,18,2,13,1,19,2,Lobby 1
15.0,Dexterous,15,9,3,10,0,16,3,15,4,19,0,20,0,Lobby 1
16.0,OA,15,13,0,20,0,12,0,5,2,10,0,7,2,Lobby 1
17.0,Hooiya,14,14,0,7,2,13,0,20,0,15,0,17,6,Lobby 1
18.0,The Semi Pros,13,16,0,11,3,15,0,7,3,14,0,15,0,Lobby 1
19.0,CC,9,18,3,19,0,9,3,16,0,20,0,13,0,Lobby 1
20.0,Titanes,5,15,0,16,3,17,0,19,0,18,1,18,0,Lobby 1
1.0,AM,79,8,6,2,3,1,14,19,3,3,10,4,8,Lobby 2
2.0,SUP,50,1,14,13,2,15,0,6,3,9,3,7,6,Lobby 2
3.0,Unlucky,50,2,4,10,0,10,1,12,0,2,6,1,4,Lobby 2
4.0,Unsigned Talent,49,6,1,1,12,18,0,14,11,5,5,16,0,Lobby 2
5.0,EST,42,13,2,12,0,3,2,1,14,16,0,8,1,Lobby 2
6.0,pub stars,41,14,5,19,1,7,10,17,0,4,4,3,5,Lobby 2
7.0,Aisle 5,38,4,4,17,4,4,0,13,0,12,0,2,9,Lobby 2
8.0,WASH,37,5,8,8,0,17,1,3,8,13,0,6,3,Lobby 2
9.0,NEAN,35,3,1,7,6,6,3,4,3,17,1,17,3,Lobby 2
10.0,RT,33,9,5,5,1,9,5,2,2,10,0,13,0,Lobby 2
11.0,Los Hefes,30,15,0,11,3,16,0,11,3,1,5,15,3,Lobby 2
12.0,LF,30,16,0,6,3,2,4,7,1,8,4,14,0,Lobby 2
13.0,2B1C,27,11,5,14,3,12,3,15,0,14,3,5,4,Lobby 2
14.0,BAD,27,7,0,20,0,13,5,5,3,6,6,9,0,Lobby 2
15.0,Dark Matter,24,10,3,15,3,8,0,9,4,18,0,10,5,Lobby 2
16.0,BOT,23,18,0,4,6,14,0,8,2,7,3,11,0,Lobby 2
17.0,Sussy Bakas,22,12,0,9,7,5,4,16,0,19,0,12,3,Lobby 2
18.0,NM,12,19,0,3,1,11,0,10,0,11,0,18,0,Lobby 2
19.0,OrgSignUs,8,20,0,16,1,19,2,18,1,15,3,19,0,Lobby 2
20.0,Blood Sport,1,17,0,18,1,20,0,20,0,0,0,0,0,Lobby 2
