Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BW,106,1,8,1,12,4,8,1,7,2,8,2,4
2.0,BP,56,5,9,12,2,5,6,17,0,17,3,1,15
3.0,DNO,50,19,1,18,0,7,6,2,8,4,9,5,5
4.0,YouLikeThatMate?,46,7,0,6,2,1,12,4,4,8,1,10,0
5.0,xD,45,8,5,2,8,19,0,13,2,5,6,6,5
6.0,NBL,44,3,2,17,0,2,6,12,0,9,0,3,10
7.0,LMX,43,11,0,3,3,11,3,11,4,1,8,8,1
8.0,LZR,38,4,6,13,0,3,7,8,1,7,5,11,0
9.0,CLX,35,10,5,5,7,6,0,6,3,12,1,14,5
10.0,SMP,33,6,6,9,4,14,0,10,5,6,1,4,1
11.0,SXG,31,20,0,14,3,20,0,14,3,3,12,12,3
12.0,Vandals,27,2,7,15,0,10,0,9,1,11,1,9,1
13.0,LVG,21,17,0,4,1,18,0,3,8,16,0,16,0
14.0,Never Lucky,16,12,1,8,2,8,2,18,2,13,1,19,2
15.0,Dexterous,15,9,3,10,0,16,3,15,4,19,0,20,0
16.0,OA,15,13,0,20,0,12,0,5,2,10,0,7,2
17.0,Hooiya,14,14,0,7,2,13,0,20,0,15,0,17,6
18.0,The Semi Pros,13,16,0,11,3,15,0,7,3,14,0,15,0
19.0,CC,9,18,3,19,0,9,3,16,0,20,0,13,0
20.0,Titanes,5,15,0,16,3,17,0,19,0,18,1,18,0
