Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,EXAgents,55,2,8,1,7,6,3,3,6
2.0,Controller Bots,41,1,10,7,5,4,4,9,0
3.0,Select,39,10,6,3,8,7,2,6,8
4.0,Vandals,36,15,0,13,0,3,6,1,9
5.0,TAG NA,35,13,0,2,3,1,8,8,0
6.0,Beamer Bros,32,3,2,9,0,5,4,2,4
7.0,Shady Kings,27,7,1,12,3,8,6,4,6
8.0,TRK,27,4,5,4,7,11,0,7,1
9.0,PepegaBakeryInc,26,14,1,5,4,2,0,5,3
10.0,Meow Syndicate,18,5,6,10,3,13,0,11,1
11.0,The Wolf Union,9,6,0,6,0,15,0,10,0
12.0,Faithwithhope,6,8,1,14,0,14,0,13,0
13.0,Bloody Hunters,6,9,0,11,0,9,0,14,0
14.0,Passivaggressive,6,12,0,8,0,10,0,12,0
15.0,Apex Scrubs,3,11,0,15,0,12,0,0,0
