,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 26, 2021 - 14:00 PDTWorld's Edge BAD BOYS SHEEEEEEESH Last Minute","Round 1 Round 1 September 26, 2021 - 14:00 PDTWorld's Edge BAD BOYS SHEEEEEEESH Last Minute","Round 2 Round 2 September 26, 2021 - 14:35 PDTWorld's Edge JOYBOYS SHEEEEEEESH CPR Certified","Round 2 Round 2 September 26, 2021 - 14:35 PDTWorld's Edge JOYBOYS SHEEEEEEESH CPR Certified","Round 3 Round 3 September 26, 2021 - 15:10 PDTWorld's Edge Sign Us Please SXG SMP","Round 3 Round 3 September 26, 2021 - 15:10 PDTWorld's Edge Sign Us Please SXG SMP","Round 4 Round 4 September 26, 2021 - 15:45 PDTWorld's Edge SXG Moanerz Absolute Monarchy","Round 4 Round 4 September 26, 2021 - 15:45 PDTWorld's Edge SXG Moanerz Absolute Monarchy","Round 5 Round 5 September 26, 2021 - 16:20 PDTWorld's Edge Sign Us Please Rolla Theory SMP","Round 5 Round 5 September 26, 2021 - 16:20 PDTWorld's Edge Sign Us Please Rolla Theory SMP","Round 6 Round 6 September 26, 2021 - 16:55 PDTWorld's Edge BAD BOYS O TAMA SMP","Round 6 Round 6 September 26, 2021 - 16:55 PDTWorld's Edge BAD BOYS O TAMA SMP"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BAD,76,1,10,5,4,4,5,4,5,7,4,1,7
1,2.0,SUP,66,14,0,9,2,1,8,6,6,1,13,4,2
2,3.0,SXG,65,15,8,8,10,2,10,1,11,13,0,15,0
3,4.0,SMP,55,11,0,7,2,3,6,9,2,3,6,3,12
4,5.0,SHEESH,53,2,3,2,6,5,7,16,1,9,8,13,3
5,6.0,RT,40,4,5,4,5,6,0,12,0,2,6,12,0
6,7.0,O TAMA,38,5,7,13,1,10,2,7,2,15,3,2,3
7,8.0,JOYBOYS,38,13,0,1,9,14,0,10,2,4,2,5,0
8,9.0,CPR Certified,36,10,0,3,3,15,0,5,6,5,3,6,3
9,10.0,MOAN,32,6,1,6,5,11,0,2,5,8,1,8,0
10,11.0,WASH,29,20,0,14,6,19,4,18,1,14,0,7,13
11,12.0,AM,28,16,1,16,0,9,1,3,5,12,5,10,4
12,13.0,LM,26,3,3,12,0,13,6,14,3,11,0,11,2
13,14.0,pub stars,20,12,5,18,4,17,2,15,2,18,0,9,3
14,15.0,Young Prodigies,18,7,7,19,0,20,1,11,2,20,0,14,3
15,16.0,LVG,15,19,0,15,0,8,4,13,2,6,2,19,0
16,17.0,Wonderboys,11,9,2,10,2,12,0,19,0,10,0,16,0
17,18.0,LKM,11,8,3,11,0,7,0,8,0,16,0,17,0
18,19.0,Inevitable Gaming,4,17,0,20,0,18,0,20,0,17,4,18,0
19,20.0,BQB,3,18,0,17,2,16,1,17,0,19,0,20,0
