,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 4, 2021 - 18:00 PDTWorld's Edge SHEEEEEESH Sign Us Please CPR Certified","Round 1 Round 1 October 4, 2021 - 18:00 PDTWorld's Edge SHEEEEEESH Sign Us Please CPR Certified","Round 2 Round 2 October 4, 2021 - 18:30 PDTWorld's Edge Lonely Fans Sussy Bakas Buff Pathfinder","Round 2 Round 2 October 4, 2021 - 18:30 PDTWorld's Edge Lonely Fans Sussy Bakas Buff Pathfinder","Round 3 Round 3 October 4, 2021 - 19:00 PDTWorld's Edge BenchWarmers Absolute Monarchy Neanderthals","Round 3 Round 3 October 4, 2021 - 19:00 PDTWorld's Edge BenchWarmers Absolute Monarchy Neanderthals","Round 4 Round 4 October 4, 2021 - 19:30 PDTWorld's Edge Buff Pathfinder CPR Certified LonelyFans","Round 4 Round 4 October 4, 2021 - 19:30 PDTWorld's Edge Buff Pathfinder CPR Certified LonelyFans","Round 5 Round 5 October 4, 2021 - 20:00 PDTWorld's Edge Unsigned Talent CIMJ LonelyFans","Round 5 Round 5 October 4, 2021 - 20:00 PDTWorld's Edge Unsigned Talent CIMJ LonelyFans","Round 6 Round 6 October 4, 2021 - 20:30 PDTWorld's Edge Sign Us Please CIMJ Buff Pathfinder","Round 6 Round 6 October 4, 2021 - 20:30 PDTWorld's Edge Sign Us Please CIMJ Buff Pathfinder"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BW,68,5,7,9,9,1,19,9,0,7,3,6,4
1,2.0,SUP,65,2,8,4,6,20,1,8,7,18,2,1,13
2,3.0,BP,57,19,0,3,8,17,0,1,10,12,3,3,9
3,4.0,AM,56,4,2,5,5,2,10,14,0,4,5,4,5
4,5.0,Lonely Fans,51,18,0,1,4,8,4,3,7,3,8,19,0
5,6.0,Unsigned Talent,48,6,5,10,3,13,0,10,2,1,14,11,3
6,7.0,SHEESH,47,1,9,11,0,19,0,6,3,5,8,14,6
7,8.0,NEAN,43,7,7,8,1,3,7,4,5,17,2,7,1
8,9.0,Sussy Bakas,32,20,0,2,12,5,3,20,0,10,1,15,0
9,10.0,NBL,31,9,2,14,0,4,2,5,6,9,0,12,6
10,11.0,CPR Certified,30,3,7,19,0,15,0,2,6,20,0,18,0
11,12.0,CIMJ,28,12,1,20,0,11,1,16,0,2,4,2,2
12,13.0,CAS,20,15,2,6,0,14,3,7,5,8,0,20,0
13,14.0,RCO,18,8,3,13,1,7,2,15,2,14,0,9,0
14,15.0,LMX,16,13,1,7,0,12,0,12,0,11,3,5,1
15,16.0,LM,15,10,0,12,3,16,3,11,1,16,0,13,3
16,17.0,MOAN,14,11,4,15,2,6,2,17,0,15,0,16,0
17,18.0,O TAMA,13,16,0,17,0,9,0,19,0,13,5,10,3
18,19.0,BAD,12,14,0,18,3,10,0,18,1,6,0,8,0
19,20.0,BQB,3,17,0,16,0,18,0,13,1,19,0,17,1
