Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,CAS,53,4,6,1,3,1,9,82,4,Lobby 1
2.0,UNL,49,2,12,2,16,13,0,151,1,Lobby 1
3.0,IFE,44,1,14,8,6,5,2,63,1,Lobby 1
4.0,CLX,42,11,1,3,4,3,3,37,12,Lobby 1
5.0,Tijuana Piranas,29,14,3,13,0,8,1,112,9,Lobby 1
6.0,LMX,29,3,1,18,0,2,6,92,4,Lobby 1
7.0,NEAN,26,5,0,4,3,12,3,45,5,Lobby 1
8.0,BLitLd Revengers,22,6,1,9,2,4,8,121,0,Lobby 1
9.0,Stonks,21,12,1,15,2,10,9,111,4,Lobby 1
10.0,RCO,21,20,0,12,4,19,0,29,7,Lobby 1
11.0,ING,18,9,5,20,0,7,0,102,6,Lobby 1
12.0,NBL,17,10,1,7,0,9,3,73,3,Lobby 1
13.0,Spooky Scary,14,8,3,5,3,18,0,141,1,Lobby 1
14.0,ReVive me pls,13,13,0,6,3,11,1,54,0,Lobby 1
15.0,Dark Matter,12,7,3,11,3,17,2,20 00,0,Lobby 1
16.0,RGP,7,17,0,16,4,14,2,180,0,Lobby 1
17.0,The Other Guys,7,15,1,17,2,6,0,170,0,Lobby 1
18.0,CVS,6,18,1,14,0,15,3,160,0,Lobby 1
19.0,MXGamers,5,16,2,10,0,16,0,131,0,Lobby 1
20.0,The leftovers,1,19,0,19,0,20,0,190,1,Lobby 1
1.0,SHEESH,50,1,16,8,0,10,5,102,11,Lobby 2
2.0,MoJo,47,11,2,3,4,6,10,29,11,Lobby 2
3.0,Sussy Bakas,45,7,8,1,18,11,0,63,0,Lobby 2
4.0,RL,42,5,1,6,4,4,5,112,8,Lobby 2
5.0,TSS,41,12,2,5,4,1,10,54,4,Lobby 2
6.0,RT,29,15,2,9,3,3,4,45,5,Lobby 2
7.0,Select,27,4,4,4,3,8,3,92,3,Lobby 2
8.0,AM,26,19,1,16,3,2,10,111,2,Lobby 2
9.0,SLS,26,8,2,2,5,5,1,73,0,Lobby 2
10.0,CenterZone,24,3,9,18,3,14,4,17 00,0,Lobby 2
11.0,SMP,20,20,0,7,1,7,4,37,2,Lobby 2
12.0,TDG,17,2,2,15,0,12,1,131,2,Lobby 2
13.0,ZooWeeMama,8,16,1,14,1,15,0,151,3,Lobby 2
14.0,Midnight MX,7,18,0,20,0,19,3,141,3,Lobby 2
15.0,ROT,6,9,1,13,1,16,0,160,1,Lobby 2
16.0,Them Boiz,6,6,1,11,0,13,0,180,0,Lobby 2
17.0,T&H,5,10,2,19,0,18,1,200,0,Lobby 2
18.0,Melon Hogs,4,17,0,17,1,9,0,121,0,Lobby 2
19.0,TEAM Workaholics,4,13,1,10,0,20,0,190,0,Lobby 2
20.0,Apelization,4,14,0,12,0,17,0,82,0,Lobby 2
1.0,2B1C,88,1,10,1,11,4,6,1,20,Lobby 3
