Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,2B1C,0,0,0,0,0,0,0,0,0,Lobby 10
2.0,Anfield,0,0,0,0,0,0,0,0,0,Lobby 10
3.0,Avalanche (missing),0,0,0,0,0,0,0,0,0,Lobby 10
4.0,Estral Eports (missing),0,0,0,0,0,0,0,0,0,Lobby 10
5.0,Evil Eye,0,0,0,0,0,0,0,0,0,Lobby 10
6.0,Foreign Deity,0,0,0,0,0,0,0,0,0,Lobby 10
7.0,GearsKidsonApex,0,0,0,0,0,0,0,0,0,Lobby 10
8.0,High Life Gaming,0,0,0,0,0,0,0,0,0,Lobby 10
9.0,Oasis,0,0,0,0,0,0,0,0,0,Lobby 10
10.0,Paranoid,0,0,0,0,0,0,0,0,0,Lobby 10
11.0,Salty Whisperers (missing),0,0,0,0,0,0,0,0,0,Lobby 10
12.0,SDO,0,0,0,0,0,0,0,0,0,Lobby 10
13.0,TS,0,0,0,0,0,0,0,0,0,Lobby 10
14.0,Team HitX,0,0,0,0,0,0,0,0,0,Lobby 10
15.0,The Big 3,0,0,0,0,0,0,0,0,0,Lobby 10
16.0,The last gamers (missing),0,0,0,0,0,0,0,0,0,Lobby 10
17.0,UTK Team White,0,0,0,0,0,0,0,0,0,Lobby 10
18.0,Wild Zone (missing),0,0,0,0,0,0,0,0,0,Lobby 10
19.0,Zachs Chest Hair,0,0,0,0,0,0,0,0,0,Lobby 10
20.0,ZERO,0,0,0,0,0,0,0,0,0,Lobby 10
1.0,2 Zoomers1boomer,0,0,0,0,0,0,0,0,0,Lobby 11
2.0,BAD,0,0,0,0,0,0,0,0,0,Lobby 11
3.0,BLZE Gaming (missing),0,0,0,0,0,0,0,0,0,Lobby 11
4.0,DPRK,0,0,0,0,0,0,0,0,0,Lobby 11
5.0,Distruttori Team,0,0,0,0,0,0,0,0,0,Lobby 11
6.0,Fuego,0,0,0,0,0,0,0,0,0,Lobby 11
7.0,GSG,0,0,0,0,0,0,0,0,0,Lobby 11
8.0,GNR,0,0,0,0,0,0,0,0,0,Lobby 11
9.0,Off The Grid (missing),0,0,0,0,0,0,0,0,0,Lobby 11
10.0,On They Ayy,0,0,0,0,0,0,0,0,0,Lobby 11
11.0,Perpetual Empire,0,0,0,0,0,0,0,0,0,Lobby 11
12.0,Phantom Troupe,0,0,0,0,0,0,0,0,0,Lobby 11
13.0,Seven5Seven,0,0,0,0,0,0,0,0,0,Lobby 11
14.0,Swagnificent,0,0,0,0,0,0,0,0,0,Lobby 11
15.0,Team Name,0,0,0,0,0,0,0,0,0,Lobby 11
16.0,TexasRatsnakes,0,0,0,0,0,0,0,0,0,Lobby 11
17.0,The Pickups,0,0,0,0,0,0,0,0,0,Lobby 11
