,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 14:20 PDTWorld's Edge RCO eSports EZ W's He's 1 Shot Bro","Round 1 Round 1 October 9, 2021 - 14:20 PDTWorld's Edge RCO eSports EZ W's He's 1 Shot Bro","Round 2 Round 2 October 9, 2021 - 14:55 PDTWorld's Edge CVS iMx Gaming Team combat Pros","Round 2 Round 2 October 9, 2021 - 14:55 PDTWorld's Edge CVS iMx Gaming Team combat Pros","Round 3 Round 3 October 9, 2021 - 15:30 PDTWorld's Edge RCO eSports iMx Gaming Tijuana Piranas","Round 3 Round 3 October 9, 2021 - 15:30 PDTWorld's Edge RCO eSports iMx Gaming Tijuana Piranas","Round 4 Round 4 October 9, 2021 - 16:05 PDTWorld's Edge InnerNerdGaming BBJ CVS","Round 4 Round 4 October 9, 2021 - 16:05 PDTWorld's Edge InnerNerdGaming BBJ CVS"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,ING,63,73,1212,92,77,82,99,112,1616
1,2.0,RCO,61,112,99,54,44,112,1313,102,55
2,3.0,CVS,49,63,22,112,1111,54,0,37,1010
3,4.0,iMx Gaming,39,180,0,29,55,29,1414,82,0
4,5.0,IFE,31,111,11,102,22,45,1010,45,55
5,6.0,He's 1 Shot Bro,28,37,1111,73,11,200,0,54,22
6,7.0,BBJ,27,102,55,111,55,160,0,29,55
7,8.0,NBL,25,141,99,45,66,141,33,180,0
8,9.0,Tijuana Piranas,20,54,44,170,0,37,33,92,0
9,10.0,Team combat Pros,14,121,0,37,44,111,0,131,0
10,11.0,Pound Cake (missing),12,45,11,82,0,131,22,111,0
11,12.0,EZ W's,12,29,0,131,0,121,0,141,0
12,13.0,BBC,10,151,0,121,33,151,11,170,33
13,14.0,BootyBoyz,7,190,0,141,33,63,0,190,0
14,15.0,Fallen Legacy,7,82,0,190,0,102,0,121,22
15,16.0,Mad Decent (missing),7,92,0,180,0,73,11,160,11
16,17.0,Forty Two Forty (missing),7,200,0,63,11,92,0,151,0
17,18.0,ARC,6,160,0,151,0,180,0,73,22
18,19.0,Team XT4,5,170,0,200,0,170,0,63,22
19,20.0,STRIKES,1,131,0,160,0,190,0,200,0
