Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,LM,95,9,7,1,16,12,9,2,11,1,13,13,2,Lobby 1
2.0,D A B,70,10,4,8,2,1,10,1,9,5,6,5,3,Lobby 1
3.0,WASH,62,13,7,14,6,5,13,4,11,11,10,14,2,Lobby 1
4.0,GNR,46,2,9,18,0,8,5,15,3,2,7,12,0,Lobby 1
5.0,LKM,41,4,5,5,5,3,2,11,6,8,1,17,3,Lobby 1
6.0,TPM,41,17,0,17,0,2,7,9,4,17,0,2,10,Lobby 1
7.0,RGP,34,20,0,4,5,13,0,6,0,4,1,4,9,Lobby 1
8.0,trash,34,14,0,2,7,7,2,13,0,6,2,7,3,Lobby 1
9.0,AST,33,1,10,13,0,10,0,12,0,7,0,16,4,Lobby 1
10.0,RAWR,33,8,0,20,0,18,0,3,3,14,0,1,8,Lobby 1
11.0,Apex Mobile,32,3,3,3,3,4,4,10,1,16,0,19,0,Lobby 1
12.0,ROT,26,12,2,10,1,17,0,7,1,3,4,6,2,Lobby 1
13.0,JOYBOYS,21,15,0,9,0,9,6,5,4,18,0,9,0,Lobby 1
14.0,IFE,18,6,1,12,3,6,0,17,0,13,5,15,0,Lobby 1
15.0,Vandals,17,18,0,11,1,11,0,18,0,12,3,3,3,Lobby 1
16.0,ZERO,13,5,2,19,2,16,0,19,0,20,0,8,3,Lobby 1
17.0,CHASE.OG,13,19,0,6,4,19,0,16,1,9,1,10,0,Lobby 1
18.0,ChayKayJay,13,16,0,7,1,15,0,8,0,19,0,11,5,Lobby 1
19.0,BLitLd Revengers,12,11,6,16,0,14,0,20,0,10,2,18,0,Lobby 1
20.0,NM,10,7,0,15,0,20,0,14,3,15,1,20,0,Lobby 1
1.0,DUMPERS,79,1,7,1,12,2,6,15,0,3,5,13,7,Lobby 2
2.0,LF,72,6,7,5,6,5,4,1,10,2,12,14,0,Lobby 2
3.0,1MAG,58,10,4,6,2,1,10,17,0,1,10,10,1,Lobby 2
4.0,Sussy Bakas,47,3,8,7,2,6,3,9,3,5,7,9,3,Lobby 2
5.0,RCO,43,2,5,2,5,12,0,5,2,9,2,8,2,Lobby 2
6.0,Never Lucky,40,17,5,13,3,4,16,19,3,12,0,12,5,Lobby 2
7.0,Select,40,16,0,11,6,15,4,2,6,14,2,3,3,Lobby 2
8.0,MoJo,40,12,0,4,3,16,0,6,3,7,3,1,7,Lobby 2
9.0,Boston Monsters,32,14,0,10,0,3,2,10,2,4,7,11,3,Lobby 2
10.0,Meow Syndicate,31,7,3,9,3,17,0,4,5,6,3,7,1,Lobby 2
11.0,TDG,29,15,1,16,0,7,2,3,8,18,1,5,2,Lobby 2
12.0,Dark Matter,28,11,0,17,0,8,2,16,3,13,0,2,10,Lobby 2
13.0,CCE,25,4,6,12,2,14,1,13,1,20,0,4,2,Lobby 2
14.0,Unknown Warriors,21,20,0,3,6,20,0,14,0,16,4,6,0,Lobby 2
15.0,OA,19,13,5,20,0,13,3,12,8,19,0,18,0,Lobby 2
16.0,Onyx,16,9,3,15,0,9,0,7,3,10,0,19,0,Lobby 2
17.0,2R1M,15,5,0,19,0,18,0,11,1,15,0,15,7,Lobby 2
18.0,NFC,14,19,0,18,0,11,1,8,4,11,2,17,3,Lobby 2
19.0,ING,11,18,0,8,6,19,0,18,0,17,2,20,1,Lobby 2
20.0,Code Cloud,10,8,1,14,0,10,2,20,0,8,0,16,0,Lobby 2
