,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 12:00 PDTWorld's Edge start a fight eSports RAWRXDTEEHEE RollerOnTop","Round 1 Round 1 November 21, 2021 - 12:00 PDTWorld's Edge start a fight eSports RAWRXDTEEHEE RollerOnTop","Round 2 Round 2 November 21, 2021 - 12:35 PDTWorld's Edge Chicken Coop Esports Code Cloud Lifted","Round 2 Round 2 November 21, 2021 - 12:35 PDTWorld's Edge Chicken Coop Esports Code Cloud Lifted","Round 3 Round 3 November 21, 2021 - 13:10 PDTWorld's Edge WashedApexPreds Kaged Code Cloud","Round 3 Round 3 November 21, 2021 - 13:10 PDTWorld's Edge WashedApexPreds Kaged Code Cloud","Round 4 Round 4 November 21, 2021 - 13:45 PDTWorld's Edge RAWRXDTEEHEE Already Peaked Kaged","Round 4 Round 4 November 21, 2021 - 13:45 PDTWorld's Edge RAWRXDTEEHEE Already Peaked Kaged"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Code Cloud,48,4,9,2,8,3,7,12,2
1,2.0,RAWR,48,2,4,20,0,8,5,1,16
2,3.0,SAF,47,1,14,15,0,9,6,4,7
3,4.0,WashedApexPreds,45,6,4,4,11,1,10,16,0
4,5.0,CCE,39,8,5,1,18,18,0,15,1
5,6.0,Kaged,32,7,2,13,0,2,6,3,4
6,7.0,Dark Matter,29,5,9,7,4,5,5,20,0
7,8.0,AST,22,17,0,12,2,10,7,10,8
8,9.0,Already Peaked,18,18,0,11,2,7,0,2,3
9,10.0,ROT,18,3,1,17,0,4,1,6,1
10,11.0,Lifted,17,13,2,3,4,15,0,11,1
11,12.0,Unit Gaming,13,15,1,8,0,17,0,7,6
12,13.0,D A B,11,16,0,14,1,6,3,13,2
13,14.0,Bocek Bandits,10,14,0,18,0,11,1,5,3
14,15.0,Bots-R-Us,8,11,0,9,3,16,0,8,0
15,16.0,Team Name,7,12,1,5,0,19,0,18,1
16,17.0,Easy,6,19,0,19,0,13,3,14,1
17,18.0,Dad Squad,6,9,2,16,0,20,0,9,0
18,19.0,RIP,6,10,0,6,0,12,0,17,0
19,20.0,Royalty,4,20,0,10,0,14,0,19,1
