,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 6, 2021 - 18:00 PDTWorld's Edge Onyx Gaming Stick Drift Op start a fight eSports","Round 1 Round 1 December 6, 2021 - 18:00 PDTWorld's Edge Onyx Gaming Stick Drift Op start a fight eSports","Round 2 Round 2 December 6, 2021 - 18:35 PDTWorld's Edge My Neck My Back Onyx Gaming DUMPERS","Round 2 Round 2 December 6, 2021 - 18:35 PDTWorld's Edge My Neck My Back Onyx Gaming DUMPERS","Round 3 Round 3 December 6, 2021 - 19:10 PDTWorld's Edge Asteria Nightmare Washed","Round 3 Round 3 December 6, 2021 - 19:10 PDTWorld's Edge Asteria Nightmare Washed","Round 4 Round 4 December 6, 2021 - 19:45 PDTWorld's Edge D A B Last Minute FNS","Round 4 Round 4 December 6, 2021 - 19:45 PDTWorld's Edge D A B Last Minute FNS","Round 5 Round 5 December 6, 2021 - 20:20 PDTWorld's Edge My Neck My Back FNS Literally Vibing","Round 5 Round 5 December 6, 2021 - 20:20 PDTWorld's Edge My Neck My Back FNS Literally Vibing","Round 6 Round 6 December 6, 2021 - 20:55 PDTWorld's Edge Running Late Last Minute D A B","Round 6 Round 6 December 6, 2021 - 20:55 PDTWorld's Edge Running Late Last Minute D A B"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,My Neck My Back,85,6,12,1,10,9,2,9,5,1,14,7,8
1,2.0,LM,58,12,4,9,9,18,0,2,9,12,4,2,10
2,3.0,DUMPERS,45,8,4,3,9,13,3,4,4,10,1,5,3
3,4.0,FNS,44,5,11,12,0,17,0,3,10,2,1,11,0
4,5.0,RL,41,19,0,19,0,10,3,5,4,4,0,1,11
5,6.0,AST,39,11,0,15,3,1,12,16,0,5,6,20,0
6,7.0,Onyx,39,1,5,2,3,4,1,10,2,18,0,16,0
7,8.0,WASH,37,10,4,10,3,3,8,19,0,6,5,12,2
8,9.0,D A B,37,9,1,20,0,16,0,1,10,8,0,3,3
9,10.0,RCO,34,13,0,4,11,7,0,6,1,16,0,10,8
10,11.0,SDO,32,2,8,8,0,6,2,18,0,9,3,17,3
11,12.0,NM,31,14,0,13,0,2,6,12,2,17,3,4,3
12,13.0,SAF,28,3,2,14,1,8,6,7,5,19,1,18,0
13,14.0,LVG,26,15,0,7,1,14,6,20,0,3,6,14,0
14,15.0,LKM,25,18,0,11,0,5,6,8,1,7,6,8,0
15,16.0,EQ,20,7,1,5,4,15,0,11,2,14,3,19,0
16,17.0,CAS,20,4,5,6,3,11,0,17,0,20,1,9,0
17,18.0,CDE,12,16,0,16,0,12,3,13,2,11,1,13,2
18,19.0,Code Cloud,10,17,0,17,0,19,0,14,3,15,2,15,2
19,20.0,Big3Protagonist,7,20,0,18,0,20,0,15,0,13,1,6,1
