,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 17:00 PDTWorld's Edge CDE Big3Protagonist Code Cloud","Round 1 Round 1 December 5, 2021 - 17:00 PDTWorld's Edge CDE Big3Protagonist Code Cloud","Round 2 Round 2 December 5, 2021 - 17:30 PDTWorld's Edge RAWRXDTEEHEE Code Cloud Big3Protagonist","Round 2 Round 2 December 5, 2021 - 17:30 PDTWorld's Edge RAWRXDTEEHEE Code Cloud Big3Protagonist","Round 3 Round 3 December 5, 021 - 18:00 PDTWorld's Edge Nightmare Running Late Big3Protagonist","Round 3 Round 3 December 5, 021 - 18:00 PDTWorld's Edge Nightmare Running Late Big3Protagonist","Round 4 Round 4 December 5, 2021 - 18:30 PDTWorld's Edge D A B Literally Vibing Last Minute","Round 4 Round 4 December 5, 2021 - 18:30 PDTWorld's Edge D A B Literally Vibing Last Minute","Round 5 Round 5 December 5, 2021 - 19:00 PDTWorld's Edge Asteria Running Late CDE","Round 5 Round 5 December 5, 2021 - 19:00 PDTWorld's Edge Asteria Running Late CDE","Round 6 Round 6 December 5, 2021 - 19:30 PDTWorld's Edge Literally Vibing D A B My Neck My Back","Round 6 Round 6 December 5, 2021 - 19:30 PDTWorld's Edge Literally Vibing D A B My Neck My Back"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,D A B,69,13,1,5,3,5,1,1,11,9,6,2,15
1,2.0,Big3Protagonist,55,2,7,3,1,3,3,4,3,10,2,5,5
2,3.0,AST,54,9,10,18,0,15,2,17,0,1,22,6,2
3,4.0,LM,53,18,3,9,8,11,6,3,18,19,1,14,6
4,5.0,LVG,52,7,3,13,3,7,3,2,6,15,3,1,5
5,6.0,My Neck My Back,48,14,0,4,14,16,0,5,8,17,1,3,8
6,7.0,RL,48,8,0,6,3,2,10,13,0,2,5,4,1
7,8.0,Code Cloud,45,3,4,2,9,9,2,8,0,5,4,11,1
8,9.0,CDE,45,1,10,16,0,6,0,10,1,3,8,8,0
9,10.0,NM,35,19,0,8,3,1,10,14,0,8,1,9,2
10,11.0,Xile Esports,30,5,6,11,4,10,6,9,0,14,1,10,1
11,12.0,RAWR,28,11,0,1,5,8,3,15,0,11,0,13,2
12,13.0,OA,23,12,3,15,0,4,6,6,1,16,0,7,0
13,14.0,Siracha,20,4,1,12,1,12,0,7,1,4,2,16,0
14,15.0,Raw Material,16,20,0,17,0,18,1,11,7,6,4,19,0
15,16.0,GNR,9,6,4,20,0,20,0,20,0,13,1,17,0
16,17.0,Keys7,9,10,1,14,0,13,0,19,0,7,0,15,0
17,18.0,MexicanVtubers,8,15,1,10,3,17,0,16,1,18,0,18,0
18,19.0,Undisputed,8,16,0,7,0,19,0,18,0,12,0,12,3
19,20.0,hi rollers,4,17,0,19,0,14,2,12,0,20,0,0,0
