,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression,Match Point Progression
,Unnamed: 0_level_1,Team,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total,Accumulative Total
,Unnamed: 0_level_2,Team,1,2,3,4,5,6,7
0,1.0,TSM,28,30,39,58,65,65,93
1,3.0,ESA,13,22,28,47,51,53,60
2,2.0,NRG,28,34,34,38,43,59,62
3,4.0,SEN,10,11,13,34,35,57,59
4,7.0,PGG,1,21,27,27,43,50,54
5,5.0,TOR,2,2,15,26,48,49,58
6,6.0,C9,6,7,9,15,28,48,58
