A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,DY,66,14,3,1,11,2,3,1,14,11,0,17,0
2.0,SEN,61,13,1,3,3,4,8,15,3,18,2,1,18
3.0,TSM,47,15,0,4,4,13,3,2,5,7,7,3,2
4.0,CLX,46,4,3,6,2,8,0,3,3,2,10,9,0
5.0,BP,45,10,3,11,0,14,0,6,9,1,14,20,0
6.0,TL,43,2,5,12,1,15,1,14,0,4,4,2,6
7.0,C9,41,3,6,18,1,5,7,5,5,6,4,18,0
8.0,COL,39,1,7,14,1,3,6,10,0,16,1,12,1
9.0,PK,34,20,0,19,3,1,15,9,0,17,0,10,0
10.0,OXG,32,6,1,2,5,7,1,7,2,9,2,13,0
11.0,TOR,30,11,4,9,6,12,0,4,5,19,3,7,0
12.0,BBG,26,9,1,10,6,16,1,11,2,12,2,6,5
13.0,CLT,26,12,5,16,2,10,1,12,2,3,3,14,1
14.0,RT,26,5,4,17,0,6,5,8,0,10,3,8,1
15.0,EST,23,18,1,5,4,18,0,19,0,5,0,4,5
16.0,MOAN,19,7,3,15,1,20,0,18,0,8,2,15,6
17.0,E8,17,8,3,8,4,9,3,16,0,15,0,16,0
18.0,SXG,14,17,0,20,0,11,1,13,6,14,0,11,3
19.0,SNRS,14,16,0,13,1,19,0,17,0,13,0,5,7
20.0,AM,8,19,0,7,3,17,2,20,0,20,0,19,0
