A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,C9,97,13,4,1,9,3,12,1,8,2,15,5,4
2.0,NRG,78,2,11,2,4,1,10,6,10,14,4,8,3
3.0,RNG,59,12,9,15,3,15,1,13,8,8,5,1,15
4.0,TSM,43,3,7,11,4,9,6,3,5,9,2,20,0
5.0,AM,39,6,0,7,4,14,4,19,0,12,8,2,6
6.0,TL,38,9,4,10,5,12,2,5,6,10,1,4,4
7.0,CLT,38,1,5,4,10,13,1,14,0,15,1,11,0
8.0,BW,32,15,2,20,0,2,5,8,1,4,3,15,3
9.0,NBL,30,14,0,3,3,8,4,15,2,13,3,13,5
10.0,PK,27,11,2,16,3,19,1,10,7,6,4,16,4
11.0,LMX,25,17,0,8,2,16,0,17,0,3,6,6,5
12.0,UNL,25,19,0,6,0,10,4,20,0,1,1,12,2
13.0,PGG,25,5,1,9,1,4,2,2,1,17,0,19,0
14.0,BP,21,18,0,5,4,20,0,4,0,11,2,7,2
15.0,E8,21,7,3,12,1,5,0,9,1,5,0,14,1
16.0,CLX,19,10,4,13,0,18,0,18,0,20,0,3,5
17.0,GHOST,16,16,0,18,0,11,4,12,3,7,2,9,0
18.0,ERA,13,4,1,19,0,6,0,11,3,19,0,17,0
19.0,LZR,13,20,0,14,0,7,1,7,1,16,2,10,0
20.0,MOAN,2,8,0,17,0,17,0,16,0,18,0,18,0
