B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SEN,87,6,7,1,10,1,4,14,8,2,14,8,5
2.0,COL,51,3,4,3,9,8,4,13,6,4,3,14,2
3.0,NRG,49,1,7,6,2,6,7,15,0,16,6,3,1
4.0,PGG,47,13,3,9,4,3,8,12,2,1,7,18,0
5.0,TOR,47,18,0,4,6,5,3,10,0,8,1,1,12
6.0,EST,43,12,3,2,1,12,0,3,9,13,2,4,4
7.0,OXG,42,10,2,16,0,2,3,5,2,6,5,2,3
8.0,RNG,39,14,2,7,7,15,9,4,2,5,4,13,0
9.0,SNRS,37,2,10,8,0,16,2,19,1,18,0,5,9
10.0,GHOST,28,17,0,11,0,7,3,1,6,15,0,9,0
11.0,LZR,27,7,3,15,0,11,1,2,4,10,0,10,1
12.0,LMX,24,8,3,13,2,9,5,9,3,19,0,6,1
13.0,UNL,23,4,4,18,0,13,1,11,2,12,5,16,3
14.0,NBL,23,9,1,17,0,4,3,8,3,9,2,12,2
15.0,DY,20,15,0,10,1,14,1,6,0,7,0,7,5
16.0,ERA,16,11,1,14,0,10,0,16,0,3,4,17,0
17.0,RT,15,16,0,5,2,19,0,7,6,17,0,19,0
18.0,BBG,13,5,4,19,0,17,0,17,0,14,0,15,3
19.0,SXG,12,19,0,12,6,18,0,18,1,11,2,11,0
20.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
