,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6
,#,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1
0,1.,SSG,SSG,12,12,-,-,-,-,-,,,,,,
1,2.,SEN,SEN,12,12,-,-,-,-,-,,,,,,
2,3.,ESA,ESA,9,9,-,-,-,-,-,,,,,,
3,3.,NBL,NBL,9,9,-,-,-,-,-,,,,,,
4,5.,SHEESH,SHEESH,7,7,-,-,-,-,-,,,,,,
5,5.,SXG,SXG,7,7,-,-,-,-,-,,,,,,
6,7.,RNG,RNG,5,5,-,-,-,-,-,,,,,,
7,8.,C9,C9,5,5,-,-,-,-,-,,,,,,
8,9.,LZR,LZR,4,4,-,-,-,-,-,,,,,,
9,9.,TSM,TSM,4,4,-,-,-,-,-,,,,,,
10,11.,PGG,PGG,3,3,-,-,-,-,-,,,,,,
11,12.,E8,E8,3,3,-,-,-,-,-,,,,,,
12,13.,CLT,CLT,3,3,-,-,-,-,-,,,,,,
13,13.,COL,COL,3,3,-,-,-,-,-,,,,,,
14,15.,ERA,ERA,2,2,-,-,-,-,-,,,,,,
15,16.,SNRS,SNRS,2,2,-,-,-,-,-,,,,,,
16,17.,G2,G2,2,2,-,-,-,-,-,,,,,,
17,17.,LMX,LMX,2,2,-,-,-,-,-,,,,,,
18,17.,PK,PK,2,2,-,-,-,-,-,,,,,,
19,17.,TL,TL,2,2,-,-,-,-,-,,,,,,
20,21.,GHOST,GHOST,1,1,-,-,-,-,-,,,,,,
21,21.,NRG,NRG,1,1,-,-,-,-,-,,,,,,
22,21.,XSET,XSET,1,1,-,-,-,-,-,,,,,,
23,24.,100T,100T,1,1,-,-,-,-,-,,,,,,
24,24.,AM,AM,1,1,-,-,-,-,-,,,,,,
25,24.,BW,BW,1,1,-,-,-,-,-,,,,,,
26,24.,DY,DY,1,1,-,-,-,-,-,,,,,,
27,24.,MOAN,MOAN,1,1,-,-,-,-,-,,,,,,
28,24.,NEAN,NEAN,1,1,-,-,-,-,-,,,,,,
29,24.,OXG,OXG,1,1,-,-,-,-,-,,,,,,
30,31.,EST,EST,0,0,-,-,-,-,-,,,,,,
31,31.,UNL,UNL,0,0,-,-,-,-,-,,,,,,
32,33.,BAD,BAD,0,0,-,-,-,-,-,,,,,,
33,33.,BP,BP,0,0,-,-,-,-,-,,,,,,
34,33.,BBG,BBG,0,0,-,-,-,-,-,,,,,,
35,33.,FUR,FUR,0,0,-,-,-,-,-,,,,,,
36,33.,RT,RT,0,0,-,-,-,-,-,,,,,,
37,33.,TOR,TOR,0,0,-,-,-,-,-,,,,,,
38,39.,CLX,CLX,0,0,-,-,-,-,-,,,,,,
39,39.,CLG,CLG,0,0,-,-,-,-,-,,,,,,
40,1.,SSG,SSG,19,12,7,-,-,-,-,,,,,,
41,2.,ESA▲1,ESA▲1,18,9,9,-,-,-,-,,,,,,
42,3.,C9▲5,C9▲5,17,5,12,-,-,-,-,,,,,,
43,4.,XSET▲17,XSET▲17,13,1,12,-,-,-,-,,,,,,
44,5.,SEN▼3,SEN▼3,13,12,1,-,-,-,-,,,,,,
45,6.,RNG▲1,RNG▲1,12,5,7,-,-,-,-,,,,,,
46,7.,NBL▼4,NBL▼4,11,9,2,-,-,-,-,,,,,,
47,8.,NRG▲13,NRG▲13,10,1,9,-,-,-,-,,,,,,
48,9.,SXG▼4,SXG▼4,10,7,3,-,-,-,-,,,,,,
49,10.,TSM▼1,TSM▼1,9,4,5,-,-,-,-,,,,,,
50,11.,SHEESH▼6,SHEESH▼6,7,7,0,-,-,-,-,,,,,,
51,12.,CLT▲1,CLT▲1,6,3,3,-,-,-,-,,,,,,
52,13.,BBG▲20,BBG▲20,5,0,5,-,-,-,-,,,,,,
53,14.,100T▲10,100T▲10,5,1,4,-,-,-,-,,,,,,
54,14.,AM▲10,AM▲10,5,1,4,-,-,-,-,,,,,,
55,14.,COL▼1,COL▼1,5,3,2,-,-,-,-,,,,,,
56,14.,TL▲3,TL▲3,5,2,3,-,-,-,-,,,,,,
57,18.,PGG▼7,PGG▼7,4,3,1,-,-,-,-,,,,,,
58,19.,E8▼7,E8▼7,4,3,1,-,-,-,-,,,,,,
59,20.,G2▼3,G2▼3,4,2,2,-,-,-,-,,,,,,
60,20.,LZR▼11,LZR▼11,4,4,0,-,-,-,-,,,,,,
61,20.,PK▼3,PK▼3,4,2,2,-,-,-,-,,,,,,
62,23.,FUR▲10,FUR▲10,3,0,3,-,-,-,-,,,,,,
63,23.,SNRS▼7,SNRS▼7,3,2,1,-,-,-,-,,,,,,
64,25.,BW▼1,BW▼1,3,1,2,-,-,-,-,,,,,,
65,25.,DY▼1,DY▼1,3,1,2,-,-,-,-,,,,,,
66,25.,LMX▼8,LMX▼8,3,2,1,-,-,-,-,,,,,,
67,28.,ERA▼13,ERA▼13,2,2,0,-,-,-,-,,,,,,
68,29.,EST▲2,EST▲2,1,0,1,-,-,-,-,,,,,,
69,29.,UNL▲2,UNL▲2,1,0,1,-,-,-,-,,,,,,
70,31.,BP▲2,BP▲2,1,0,1,-,-,-,-,,,,,,
71,31.,GHOST▼10,GHOST▼10,1,1,0,-,-,-,-,,,,,,
72,31.,RT▲2,RT▲2,1,0,1,-,-,-,-,,,,,,
73,31.,TOR▲2,TOR▲2,1,0,1,-,-,-,-,,,,,,
74,35.,MOAN▼11,MOAN▼11,1,1,0,-,-,-,-,,,,,,
75,35.,NEAN▼11,NEAN▼11,1,1,0,-,-,-,-,,,,,,
76,35.,OXG▼11,OXG▼11,1,1,0,-,-,-,-,,,,,,
77,38.,BAD▼5,BAD▼5,0,0,0,-,-,-,-,,,,,,
78,39.,CLX,CLX,0,0,0,-,-,-,-,,,,,,
79,39.,CLG,CLG,0,0,0,-,-,-,-,,,,,,
80,1.,ESA▲1,ESA▲1,25,9,9,7,-,-,-,,,,,,
81,2.,SSG▼1,SSG▼1,24,12,7,5,-,-,-,,,,,,
82,3.,NRG▲5,NRG▲5,22,1,9,12,-,-,-,,,,,,
83,4.,SEN▲1,SEN▲1,22,12,1,9,-,-,-,,,,,,
84,5.,C9▼2,C9▼2,17,5,12,0,-,-,-,,,,,,
85,6.,COL▲8,COL▲8,17,3,2,12,-,-,-,,,,,,
86,7.,XSET▼3,XSET▼3,14,1,12,1,-,-,-,,,,,,
87,8.,TSM▲2,TSM▲2,14,4,5,5,-,-,-,,,,,,
88,9.,RNG▼3,RNG▼3,13,5,7,1,-,-,-,,,,,,
89,10.,G2▲10,G2▲10,13,2,2,9,-,-,-,,,,,,
90,10.,NBL▼3,NBL▼3,13,9,2,2,-,-,-,,,,,,
91,12.,SXG▼3,SXG▼3,11,7,3,1,-,-,-,,,,,,
92,13.,DY▲12,DY▲12,10,1,2,7,-,-,-,,,,,,
93,14.,BBG▼1,BBG▼1,9,0,5,4,-,-,-,,,,,,
94,15.,SHEESH▼4,SHEESH▼4,8,7,0,1,-,-,-,,,,,,
95,16.,AM▼2,AM▼2,7,1,4,2,-,-,-,,,,,,
96,17.,PGG▲1,PGG▲1,6,3,1,2,-,-,-,,,,,,
97,18.,E8▲1,E8▲1,6,3,1,2,-,-,-,,,,,,
98,19.,CLT▼7,CLT▼7,6,3,3,0,-,-,-,,,,,,
99,19.,LZR▲1,LZR▲1,6,4,0,2,-,-,-,,,,,,
100,19.,PK▲1,PK▲1,6,2,2,2,-,-,-,,,,,,
101,22.,GHOST▲9,GHOST▲9,5,1,0,4,-,-,-,,,,,,
102,23.,100T▼9,100T▼9,5,1,4,0,-,-,-,,,,,,
103,23.,TL▼9,TL▼9,5,2,3,0,-,-,-,,,,,,
104,25.,UNL▲4,UNL▲4,4,0,1,3,-,-,-,,,,,,
105,26.,FUR▼3,FUR▼3,4,0,3,1,-,-,-,,,,,,
106,26.,SNRS▼3,SNRS▼3,4,2,1,1,-,-,-,,,,,,
107,28.,NEAN▲7,NEAN▲7,4,1,0,3,-,-,-,,,,,,
108,28.,OXG▲7,OXG▲7,4,1,0,3,-,-,-,,,,,,
109,30.,BW▼5,BW▼5,3,1,2,0,-,-,-,,,,,,
110,30.,CLX▲9,CLX▲9,3,0,0,3,-,-,-,,,,,,
111,30.,LMX▼5,LMX▼5,3,2,1,0,-,-,-,,,,,,
