,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 3, 2021 - 20:00 ESTWorld's Edge Legacy MX TSM Charlotte Phoenix","Round 1 Round 1 December 3, 2021 - 20:00 ESTWorld's Edge Legacy MX TSM Charlotte Phoenix","Round 2 Round 2 December 3, 2021 - 20:35 ESTWorld's Edge Cloud9 Team Liquid Moanerz","Round 2 Round 2 December 3, 2021 - 20:35 ESTWorld's Edge Cloud9 Team Liquid Moanerz","Round 3 Round 3 December 3, 2021 - 21:10 ESTWorld's Edge Premier Lazarus Absolute Monarchy","Round 3 Round 3 December 3, 2021 - 21:10 ESTWorld's Edge Premier Lazarus Absolute Monarchy","Round 4 Round 4 December 3, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Pittsburgh Knights Team Liquid","Round 4 Round 4 December 3, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Pittsburgh Knights Team Liquid","Round 5 Round 5 December 3, 2021 - 22:20 ESTWorld's Edge Pittsburgh Knights Elev8 Entertainment Unlucky","Round 5 Round 5 December 3, 2021 - 22:20 ESTWorld's Edge Pittsburgh Knights Elev8 Entertainment Unlucky","Round 6 Round 6 December 3, 2021 - 22:55 ESTWorld's Edge NRG Premier TSM","Round 6 Round 6 December 3, 2021 - 22:55 ESTWorld's Edge NRG Premier TSM"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,PK,60,54,55,160,33,190,0,29,1111,112,1010,82,44
1,2.0,NRG,53,131,44,121,0,63,88,63,11,63,33,112,1414
2,3.0,LZR,53,63,44,73,33,29,88,121,11,45,55,45,66
3,4.0,PGG,50,73,33,111,0,112,66,45,11,54,55,29,11
4,5.0,TL,44,121,0,29,77,92,22,37,22,82,77,141,44
5,6.0,TSM,42,29,66,63,44,170,11,131,0,73,22,37,66
6,7.0,GHOST,40,82,44,82,22,121,0,112,1212,92,33,170,0
7,8.0,LMX,37,112,88,54,33,102,0,141,22,141,0,63,11
8,9.0,AM,36,180,0,45,99,37,99,92,11,170,0,151,22
9,10.0,C9,35,190,0,112,1111,82,33,111,11,151,0,102,22
10,11.0,RNG,26,45,88,102,55,160,11,170,0,111,33,190,11
11,12.0,CLT,26,37,44,180,11,131,0,82,66,121,11,121,22
12,13.0,MOAN,25,170,0,37,66,54,77,151,0,160,0,180,0
13,14.0,UNL,25,141,22,131,0,141,11,73,44,37,44,111,0
14,15.0,NBL,24,102,11,151,0,151,0,54,33,180,0,54,88
15,16.0,E8,21,160,0,92,0,111,0,190,0,29,77,92,0
16,17.0,CLX,20,151,22,190,0,73,33,160,66,131,33,131,0
17,18.0,BP,18,92,0,141,0,45,44,180,11,190,0,73,22
18,19.0,ERA,16,111,33,170,0,180,11,102,11,102,66,160,0
19,20.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
