,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Unlucky Counter Logic Gaming eRa Eternity","Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Unlucky Counter Logic Gaming eRa Eternity","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge NRG XSET Spacestation Gaming","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge NRG XSET Spacestation Gaming","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge G2 Esports FURIA Esports Premier","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge G2 Esports FURIA Esports Premier","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge 100 Thieves Legacy MX Renegades","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge 100 Thieves Legacy MX Renegades","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge 100 Thieves Unlucky FURIA Esports","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge 100 Thieves Unlucky FURIA Esports","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge 100 Thieves FURIA Esports Counter Logic Gaming","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge 100 Thieves FURIA Esports Counter Logic Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,100T,84,82,11,73,55,111,0,112,1313,112,1111,112,1212
1,2.0,NRG,60,92,44,112,1515,121,22,151,0,73,1111,63,66
2,3.0,FUR,52,54,11,82,0,29,44,54,22,37,33,29,77
3,4.0,UNL,47,112,1010,151,0,45,11,82,11,29,33,102,11
4,5.0,G2,44,45,77,45,11,112,88,180,0,151,0,160,55
5,6.0,CLG,42,29,55,121,44,131,44,63,11,131,33,37,33
6,7.0,PGG,37,160,0,63,22,37,1111,160,0,63,33,45,33
7,8.0,RNG,37,180,0,54,33,54,55,37,66,82,55,141,0
8,9.0,SSG,35,131,0,37,22,63,44,45,55,180,0,73,55
9,10.0,XSET,34,63,22,29,77,92,0,102,33,45,11,170,0
10,11.0,LMX,31,141,33,180,11,73,55,29,44,92,11,92,0
11,12.0,GHOST,27,73,55,131,44,82,33,73,0,102,22,82,0
12,13.0,ESA,25,102,55,111,0,151,0,92,1010,121,33,180,0
13,14.0,ERA,23,37,0,170,33,170,11,141,22,160,0,54,55
14,15.0,BAD,22,151,22,102,22,102,0,121,11,54,33,121,33
15,16.0,NBL,10,121,11,160,0,141,11,131,0,111,22,111,11
16,17.0,LZR,8,111,22,92,0,160,0,170,0,141,0,131,11
17,18.0,NEAN,7,170,0,141,11,180,0,111,33,170,0,151,0
18,19.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0
