,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Complexity Gaming Team Liquid Cloud9","Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Complexity Gaming Team Liquid Cloud9","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge Dubblyew Oxygen Esports Sentinels","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge Dubblyew Oxygen Esports Sentinels","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge Pittsburgh Knights Dubblyew Complexity Gaming","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge Pittsburgh Knights Dubblyew Complexity Gaming","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge Dubblyew TSM CLX","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge Dubblyew TSM CLX","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge Buff Pathfinder CLX Charlotte Phoenix","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge Buff Pathfinder CLX Charlotte Phoenix","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge Sentinels Team Liquid TSM","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge Sentinels Team Liquid TSM"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DY,66,141,33,112,1111,29,33,112,1414,111,0,170,0
1,2.0,SEN,61,131,11,37,33,45,88,151,33,180,22,112,1818
2,3.0,TSM,47,151,0,45,44,131,33,29,55,73,77,37,22
3,4.0,CLX,46,45,33,63,22,82,0,37,33,29,1010,92,0
4,5.0,BP,45,102,33,111,0,141,0,63,99,112,1414,200,0
5,6.0,TL,43,29,55,121,11,151,11,141,0,45,44,29,66
6,7.0,C9,41,37,66,180,11,54,77,54,55,63,44,180,0
7,8.0,COL,39,112,77,141,11,37,66,102,0,160,11,121,11
8,9.0,PK,34,200,0,190,33,112,1515,92,0,170,0,102,0
9,10.0,OXG,32,63,11,29,55,73,11,73,22,92,22,131,0
10,11.0,TOR,30,111,44,92,66,121,0,45,55,190,33,73,0
11,12.0,BBG,26,92,11,102,66,160,11,111,22,121,22,63,55
12,13.0,CLT,26,121,55,160,22,102,11,121,22,37,33,141,11
13,14.0,RT,26,54,44,170,0,63,55,82,0,102,33,82,11
14,15.0,EST,23,180,11,54,44,180,0,190,0,54,0,45,55
15,16.0,MOAN,19,73,33,151,11,200,0,180,0,82,22,151,66
16,17.0,E8,17,82,33,82,44,92,33,160,0,151,0,160,0
17,18.0,SXG,14,170,0,200,0,111,11,131,66,141,0,111,33
18,19.0,SNRS,14,160,0,131,11,190,0,170,0,131,0,54,77
19,20.0,AM,8,190,0,73,33,170,22,200,0,200,0,190,0
