,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 16:00 EDTWorld's Edge Sentinels Noble Senior Service","Round 1 Round 1 October 16, 2021 - 16:00 EDTWorld's Edge Sentinels Noble Senior Service","Round 2 Round 2 October 16, 2021 - 16:35 EDTWorld's Edge eRa Eternity Lazarus Senior Service","Round 2 Round 2 October 16, 2021 - 16:35 EDTWorld's Edge eRa Eternity Lazarus Senior Service","Round 3 Round 3 October 16, 2021 - 17:10 EDTWorld's Edge Sentinels Complexity Gaming Lazarus","Round 3 Round 3 October 16, 2021 - 17:10 EDTWorld's Edge Sentinels Complexity Gaming Lazarus","Round 4 Round 4 October 16, 2021 - 17:45 EDTWorld's Edge Legacy MX Renegades BenchWarmers","Round 4 Round 4 October 16, 2021 - 17:45 EDTWorld's Edge Legacy MX Renegades BenchWarmers","Round 5 Round 5 October 16, 2021 - 18:20 EDTWorld's Edge SXG Sentinels Oxygen Esports","Round 5 Round 5 October 16, 2021 - 18:20 EDTWorld's Edge SXG Sentinels Oxygen Esports","Round 6 Round 6 October 16, 2021 - 18:55 EDTWorld's Edge Noble Premier Complexity Gaming","Round 6 Round 6 October 16, 2021 - 18:55 EDTWorld's Edge Noble Premier Complexity Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SEN,92,112,88,82,88,112,1212,63,44,29,1010,82,1010
1,2.0,NBL,58,29,66,200,0,45,44,45,33,92,22,112,1010
2,3.0,SXG,48,151,0,73,1111,190,0,180,33,112,1717,111,0
3,4.0,RNG,46,73,33,151,0,102,66,29,44,63,99,73,33
4,5.0,LZR,44,111,55,29,55,37,11,54,22,73,11,45,11
5,6.0,PGG,41,45,77,45,11,170,0,121,33,141,0,29,99
6,7.0,COL,39,54,44,141,11,29,55,131,0,131,11,37,55
7,8.0,ERA,38,141,11,112,99,141,33,102,66,121,11,151,0
8,9.0,SNRS,31,37,77,37,22,54,22,141,0,170,11,200,0
9,10.0,LMX,29,131,0,54,0,111,11,112,88,111,11,160,0
10,11.0,DY,26,92,0,131,0,73,77,92,0,82,11,54,44
11,12.0,NRG,25,102,11,180,0,180,0,111,1111,160,99,131,0
12,13.0,BW,25,180,0,92,44,160,0,37,55,102,0,121,44
13,14.0,OXG,22,160,33,190,22,121,22,82,0,37,11,141,33
14,15.0,GHOST,21,121,0,102,44,92,33,200,0,200,0,63,66
15,16.0,UNL,18,82,33,170,11,151,33,190,0,45,11,92,0
16,17.0,BBG,17,190,22,160,44,63,55,170,0,151,0,190,22
17,18.0,TOR,15,200,11,121,0,82,11,160,22,54,22,102,0
18,19.0,EST,14,170,0,63,22,131,11,73,33,180,11,170,0
19,20.0,RT,13,63,44,111,33,200,0,151,11,190,0,180,0
