,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 17, 2021 - 16:00 EDTWorld's Edge TSM Neanderthals 100 Thieves","Round 1 Round 1 October 17, 2021 - 16:00 EDTWorld's Edge TSM Neanderthals 100 Thieves","Round 2 Round 2 October 17, 2021 - 16:35 EDTWorld's Edge Elev8 Entertainment G2 Esports Charlotte Phoenix","Round 2 Round 2 October 17, 2021 - 16:35 EDTWorld's Edge Elev8 Entertainment G2 Esports Charlotte Phoenix","Round 3 Round 3 October 17, 2021 - 17:10 EDTWorld's Edge Spacestation Gaming Esports Arena Moanerz","Round 3 Round 3 October 17, 2021 - 17:10 EDTWorld's Edge Spacestation Gaming Esports Arena Moanerz","Round 4 Round 4 October 17, 2021 - 17:45 EDTWorld's Edge SHEEEEEEESH XSET FURIA Esports","Round 4 Round 4 October 17, 2021 - 17:45 EDTWorld's Edge SHEEEEEEESH XSET FURIA Esports","Round 5 Round 5 October 17, 2021 - 18:20 EDTWorld's Edge Esports Arena Spacestation Gaming G2 Esports","Round 5 Round 5 October 17, 2021 - 18:20 EDTWorld's Edge Esports Arena Spacestation Gaming G2 Esports","Round 6 Round 6 October 17, 2021 - 18:55 EDTWorld's Edge Spacestation Gaming Elev8 Entertainment SHEEEEEEESH","Round 6 Round 6 October 17, 2021 - 18:55 EDTWorld's Edge Spacestation Gaming Elev8 Entertainment SHEEEEEEESH"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SSG,73,200,0,73,44,112,1010,73,66,29,44,112,1010
1,2.0,ESA,57,82,55,82,33,29,1010,200,0,112,1212,82,0
2,3.0,SHEESH,51,180,22,160,55,180,0,112,1212,141,66,37,66
3,4.0,C9,46,73,1010,200,0,190,11,102,66,45,1010,45,44
4,5.0,TSM,45,112,77,63,77,111,55,190,33,131,33,131,22
5,6.0,CLT,42,131,44,37,33,73,0,131,55,63,55,54,66
6,7.0,E8,42,54,22,112,77,131,11,160,0,121,0,29,55
7,8.0,TL,40,141,0,54,55,102,66,54,55,92,22,73,66
8,9.0,G2,34,121,0,29,22,54,11,82,11,37,55,180,22
9,10.0,PK,32,45,77,45,88,151,0,151,11,200,0,121,33
10,11.0,100T,30,37,33,102,11,92,11,63,22,82,33,63,11
11,12.0,AM,28,63,99,92,33,82,33,180,0,102,11,102,11
12,13.0,XSET,27,92,0,180,22,121,0,29,44,54,22,111,22
13,14.0,NEAN,23,29,55,170,0,63,0,92,11,151,0,160,22
14,15.0,MOAN,20,151,0,121,11,37,88,170,11,190,0,141,0
15,16.0,FUR,17,160,0,111,0,141,22,37,44,111,11,190,0
16,17.0,BP,16,190,0,141,11,160,0,121,0,73,33,92,55
17,18.0,CLG,14,111,11,131,0,200,0,45,55,170,0,170,11
18,19.0,BAD,13,102,22,151,0,45,0,141,11,160,0,151,0
19,20.0,CLX,6,170,0,190,11,170,44,111,0,180,0,200,0
