,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 24, 2021 - 16:00 EDTWorld's Edge Spacestation Gaming Built By Gamers XSET","Round 1 Round 1 October 24, 2021 - 16:00 EDTWorld's Edge Spacestation Gaming Built By Gamers XSET","Round 2 Round 2 October 24, 2021 - 16:35 EDTWorld's Edge Estral Esports 100 Thieves Built By Gamers","Round 2 Round 2 October 24, 2021 - 16:35 EDTWorld's Edge Estral Esports 100 Thieves Built By Gamers","Round 3 Round 3 October 24, 2021 - 17:10 EDTWorld's Edge Complexity Gaming Esports Arena SXG","Round 3 Round 3 October 24, 2021 - 17:10 EDTWorld's Edge Complexity Gaming Esports Arena SXG","Round 4 Round 4 October 24, 2021 - 17:45 EDTWorld's Edge XSET 100 Thieves Rolla Theory","Round 4 Round 4 October 24, 2021 - 17:45 EDTWorld's Edge XSET 100 Thieves Rolla Theory","Round 5 Round 5 October 24, 2021 - 18:20 EDTWorld's Edge Esports Arena FURIA Esports G2 Esports","Round 5 Round 5 October 24, 2021 - 18:20 EDTWorld's Edge Esports Arena FURIA Esports G2 Esports","Round 6 Round 6 October 24, 2021 - 18:55 EDTWorld's Edge XSET Torrent Complexity Gaming","Round 6 Round 6 October 24, 2021 - 18:55 EDTWorld's Edge XSET Torrent Complexity Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,XSET,76,37,88,54,88,151,0,112,99,54,44,112,77
1,2.0,ESA,54,92,44,180,0,29,88,200,0,112,1212,45,22
2,3.0,SSG,51,112,1313,102,22,141,55,45,99,82,0,160,0
3,4.0,BBG,48,29,1212,37,1111,102,0,63,22,170,22,190,0
4,5.0,100T,45,141,0,29,88,73,33,29,55,92,33,121,11
5,6.0,FUR,45,54,22,45,33,190,0,54,66,29,77,63,22
6,7.0,SXG,43,151,66,111,0,37,1616,111,44,102,0,131,44
7,8.0,COL,38,82,0,121,33,112,66,151,0,73,0,37,33
8,9.0,G2,35,131,22,160,0,54,44,180,0,37,77,82,88
9,10.0,DY,33,63,44,82,22,131,0,73,33,63,1111,141,0
10,11.0,EST,32,160,22,112,88,160,0,92,0,45,0,111,22
11,12.0,RT,28,102,0,151,0,45,33,37,22,180,0,54,44
12,13.0,TOR,27,111,0,92,11,180,0,141,11,121,11,29,1010
13,14.0,SEN,23,190,0,190,33,82,22,170,33,131,88,151,33
14,15.0,SNRS,21,45,0,170,0,170,11,121,88,200,0,102,44
15,16.0,NEAN,16,73,33,131,33,200,0,131,44,160,11,200,0
16,17.0,BAD,15,180,0,73,33,92,11,160,11,141,44,170,0
17,18.0,CLG,15,200,0,63,11,121,33,102,0,111,0,92,22
18,19.0,SHEESH,13,121,0,141,11,111,0,82,0,151,22,180,44
19,20.0,OXG,10,170,0,200,0,63,44,190,0,190,0,73,0
