,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Unlucky Counter Logic Gaming eRa Eternity","Round 1 Round 1 December 5, 2021 - 18:00 ESTWorld's Edge Unlucky Counter Logic Gaming eRa Eternity","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge NRG XSET Spacestation Gaming","Round 2 Round 2 December 5, 2021 - 18:35 ESTWorld's Edge NRG XSET Spacestation Gaming","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge G2 Esports FURIA Esports Premier","Round 3 Round 3 December 5, 2021 - 19:10 ESTWorld's Edge G2 Esports FURIA Esports Premier","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge 100 Thieves Legacy MX Renegades","Round 4 Round 4 December 5, 2021 - 19:45 ESTWorld's Edge 100 Thieves Legacy MX Renegades","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge 100 Thieves Unlucky FURIA Esports","Round 5 Round 5 December 5, 2021 - 20:20 ESTWorld's Edge 100 Thieves Unlucky FURIA Esports","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge 100 Thieves FURIA Esports Counter Logic Gaming","Round 6 Round 6 December 5, 2021 - 20:55 ESTWorld's Edge 100 Thieves FURIA Esports Counter Logic Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,100T,84,8,1,7,5,11,0,1,13,1,11,1,12
1,2.0,NRG,60,9,4,1,15,12,2,15,0,7,11,6,6
2,3.0,FUR,52,5,1,8,0,2,4,5,2,3,3,2,7
3,4.0,UNL,47,1,10,15,0,4,1,8,1,2,3,10,1
4,5.0,G2,44,4,7,4,1,1,8,18,0,15,0,16,5
5,6.0,CLG,42,2,5,12,4,13,4,6,1,13,3,3,3
6,7.0,PGG,37,16,0,6,2,3,11,16,0,6,3,4,3
7,8.0,RNG,37,18,0,5,3,5,5,3,6,8,5,14,0
8,9.0,SSG,35,13,0,3,2,6,4,4,5,18,0,7,5
9,10.0,XSET,34,6,2,2,7,9,0,10,3,4,1,17,0
10,11.0,LMX,31,14,3,18,1,7,5,2,4,9,1,9,0
11,12.0,GHOST,27,7,5,13,4,8,3,7,0,10,2,8,0
12,13.0,ESA,25,10,5,11,0,15,0,9,10,12,3,18,0
13,14.0,ERA,23,3,0,17,3,17,1,14,2,16,0,5,5
14,15.0,BAD,22,15,2,10,2,10,0,12,1,5,3,12,3
15,16.0,NBL,10,12,1,16,0,14,1,13,0,11,2,11,1
16,17.0,LZR,8,11,2,9,0,16,0,17,0,14,0,13,1
17,18.0,NEAN,7,17,0,14,1,18,0,11,3,17,0,15,0
18,19.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0
