,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 18:00 ESTWorld's Edge 100 Thieves TSM Team Liquid","Round 1 Round 1 November 21, 2021 - 18:00 ESTWorld's Edge 100 Thieves TSM Team Liquid","Round 2 Round 2 November 21, 2021 - 18:35 ESTWorld's Edge Cloud9 Team Liquid XSET","Round 2 Round 2 November 21, 2021 - 18:35 ESTWorld's Edge Cloud9 Team Liquid XSET","Round 3 Round 3 November 21, 2021 - 19:10 ESTWorld's Edge Esports Arena Pittsburgh Knights Moanerz","Round 3 Round 3 November 21, 2021 - 19:10 ESTWorld's Edge Esports Arena Pittsburgh Knights Moanerz","Round 4 Round 4 November 21, 2021 - 19:45 ESTWorld's Edge G2 Esports Buff Pathfinder Esports Arena","Round 4 Round 4 November 21, 2021 - 19:45 ESTWorld's Edge G2 Esports Buff Pathfinder Esports Arena","Round 5 Round 5 November 21, 2021 - 20:20 ESTWorld's Edge Esports Arena TSM Buff Pathfinder","Round 5 Round 5 November 21, 2021 - 20:20 ESTWorld's Edge Esports Arena TSM Buff Pathfinder","Round 6 Round 6 November 21, 2021 - 20:55 ESTWorld's Edge BAD BOYS FURIA Esports Absolute Monarchy","Round 6 Round 6 November 21, 2021 - 20:55 ESTWorld's Edge BAD BOYS FURIA Esports Absolute Monarchy"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ESA,67,10,0,12,0,1,9,3,8,1,15,17,1
1,2.0,TSM,62,2,10,6,8,9,6,11,7,2,5,10,0
2,3.0,G2,47,9,6,17,0,11,0,1,14,8,7,18,3
3,4.0,100T,46,1,13,8,1,12,3,4,6,18,0,6,0
4,5.0,TL,44,3,8,2,6,8,4,6,0,14,0,7,1
5,6.0,XSET,41,4,3,3,6,4,3,14,1,6,5,9,0
6,7.0,BAD,40,6,0,4,5,10,1,19,0,9,0,1,10
7,8.0,C9,36,11,3,1,7,17,0,9,3,15,0,8,5
8,9.0,BP,36,13,0,13,4,13,1,2,5,3,4,11,2
9,10.0,FUR,34,18,0,16,7,18,0,7,2,13,4,2,8
10,11.0,SSG,30,15,0,11,5,5,5,12,1,4,5,13,1
11,12.0,NEAN,27,14,1,15,0,7,6,13,2,5,1,12,6
12,13.0,CLT,27,7,3,5,1,14,0,8,0,17,0,4,8
13,14.0,PK,27,16,1,9,0,2,6,15,0,7,4,14,0
14,15.0,AM,26,5,3,7,2,19,0,10,1,12,0,3,3
15,16.0,E8,21,12,1,18,0,6,3,5,5,10,0,15,1
16,17.0,MOAN,13,19,0,14,0,3,1,18,0,11,2,16,1
17,18.0,CLX,11,17,0,10,3,15,5,17,0,16,0,19,0
18,19.0,CLG,9,8,0,19,0,16,0,16,1,19,0,5,2
19,20.0,SHEESH,0,0,0,0,0,0,0,0,0,0,0,0,0
