,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 3, 2021 - 20:00 ESTWorld's Edge Legacy MX TSM Charlotte Phoenix","Round 1 Round 1 December 3, 2021 - 20:00 ESTWorld's Edge Legacy MX TSM Charlotte Phoenix","Round 2 Round 2 December 3, 2021 - 20:35 ESTWorld's Edge Cloud9 Team Liquid Moanerz","Round 2 Round 2 December 3, 2021 - 20:35 ESTWorld's Edge Cloud9 Team Liquid Moanerz","Round 3 Round 3 December 3, 2021 - 21:10 ESTWorld's Edge Premier Lazarus Absolute Monarchy","Round 3 Round 3 December 3, 2021 - 21:10 ESTWorld's Edge Premier Lazarus Absolute Monarchy","Round 4 Round 4 December 3, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Pittsburgh Knights Team Liquid","Round 4 Round 4 December 3, 2021 - 21:45 ESTWorld's Edge Ghost Gaming Pittsburgh Knights Team Liquid","Round 5 Round 5 December 3, 2021 - 22:20 ESTWorld's Edge Pittsburgh Knights Elev8 Entertainment Unlucky","Round 5 Round 5 December 3, 2021 - 22:20 ESTWorld's Edge Pittsburgh Knights Elev8 Entertainment Unlucky","Round 6 Round 6 December 3, 2021 - 22:55 ESTWorld's Edge NRG Premier TSM","Round 6 Round 6 December 3, 2021 - 22:55 ESTWorld's Edge NRG Premier TSM"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,PK,60,5,5,16,3,19,0,2,11,1,10,8,4
1,2.0,NRG,53,13,4,12,0,6,8,6,1,6,3,1,14
2,3.0,LZR,53,6,4,7,3,2,8,12,1,4,5,4,6
3,4.0,PGG,50,7,3,11,0,1,6,4,1,5,5,2,1
4,5.0,TL,44,12,0,2,7,9,2,3,2,8,7,14,4
5,6.0,TSM,42,2,6,6,4,17,1,13,0,7,2,3,6
6,7.0,GHOST,40,8,4,8,2,12,0,1,12,9,3,17,0
7,8.0,LMX,37,1,8,5,3,10,0,14,2,14,0,6,1
8,9.0,AM,36,18,0,4,9,3,9,9,1,17,0,15,2
9,10.0,C9,35,19,0,1,11,8,3,11,1,15,0,10,2
10,11.0,RNG,26,4,8,10,5,16,1,17,0,11,3,19,1
11,12.0,CLT,26,3,4,18,1,13,0,8,6,12,1,12,2
12,13.0,MOAN,25,17,0,3,6,5,7,15,0,16,0,18,0
13,14.0,UNL,25,14,2,13,0,14,1,7,4,3,4,11,0
14,15.0,NBL,24,10,1,15,0,15,0,5,3,18,0,5,8
15,16.0,E8,21,16,0,9,0,11,0,19,0,2,7,9,0
16,17.0,CLX,20,15,2,19,0,7,3,16,6,13,3,13,0
17,18.0,BP,18,9,0,14,0,4,4,18,1,19,0,7,2
18,19.0,ERA,16,11,3,17,0,18,1,10,1,10,6,16,0
19,20.0,BW,0,0,0,0,0,0,0,0,0,0,0,0,0
