Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,EQ,72,6,10,12,4,1,23,1,7,Lobby 1,Quarterfinals,,,,
2.0,SDO,47,3,7,1,11,8,4,7,1,Lobby 1,Quarterfinals,,,,
3.0,TPM,39,4,5,3,4,19,1,4,12,Lobby 1,Quarterfinals,,,,
4.0,FBOSS,37,1,11,4,3,14,1,12,3,Lobby 1,Quarterfinals,,,,
5.0,EX,31,7,1,18,0,4,4,2,9,Lobby 1,Quarterfinals,,,,
6.0,BABL,31,2,8,16,0,2,1,14,3,Lobby 1,Quarterfinals,,,,
7.0,GSG,25,13,0,6,5,6,6,5,3,Lobby 1,Quarterfinals,,,,
8.0,ABST,24,10,0,2,8,9,2,11,0,Lobby 1,Quarterfinals,,,,
9.0,ZLB,20,5,1,10,2,3,4,18,0,Lobby 1,Quarterfinals,,,,
10.0,Neko Arc,16,12,3,8,8,17,0,9,0,Lobby 1,Quarterfinals,,,,
11.0,UORG,14,8,3,15,1,10,4,15,0,Lobby 1,Quarterfinals,,,,
12.0,ABW,14,11,0,5,0,18,0,6,6,Lobby 1,Quarterfinals,,,,
13.0,Miami,13,16,3,11,1,16,0,8,6,Lobby 1,Quarterfinals,,,,
14.0,Stoop,13,20,0,19,3,11,0,3,2,Lobby 1,Quarterfinals,,,,
15.0,OSU Esports,10,18,0,13,2,5,2,19,1,Lobby 1,Quarterfinals,,,,
16.0,ill,9,19,0,9,5,15,1,16,0,Lobby 1,Quarterfinals,,,,
17.0,B&C,9,9,2,17,0,7,0,10,0,Lobby 1,Quarterfinals,,,,
18.0,PÂTÉ,8,15,3,14,1,13,1,17,0,Lobby 1,Quarterfinals,,,,
19.0,TSin,5,14,1,20,1,20,0,13,1,Lobby 1,Quarterfinals,,,,
20.0,Tuguy,5,17,0,7,0,12,1,20,0,Lobby 1,Quarterfinals,,,,
1.0,CCE UCX,54,3,2,3,6,6,4,2,16,Lobby 2,Quarterfinals,,,,
2.0,MM,53,1,8,4,2,1,13,15,0,Lobby 2,Quarterfinals,,,,
