Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,WING,77,18,0,1,18,2,10,18,0,4,3,1,8
2.0,TRP,67,8,5,9,8,1,9,15,0,3,3,2,9
3.0,MH,61,7,6,16,3,3,6,8,7,2,7,5,7
4.0,SHEESH,54,2,5,2,1,10,1,14,0,1,8,6,3
5.0,Guppies,37,13,3,8,9,17,0,3,8,6,2,14,1
6.0,North,37,3,1,15,1,12,1,9,5,7,11,7,1
7.0,AE,37,1,6,12,1,4,6,20,0,8,4,20,0
8.0,RDM,35,12,0,7,1,5,8,13,6,16,4,11,6
9.0,AST,33,9,4,13,0,14,0,1,6,18,1,12,5
10.0,MM,30,16,2,10,0,18,0,10,2,9,6,3,7
11.0,CCE UCX,29,5,3,18,0,11,4,2,2,12,3,8,0
12.0,ING,26,4,11,20,0,16,4,17,0,13,0,4,0
13.0,ZLB,26,15,0,6,7,13,1,7,3,5,2,15,0
14.0,SDO,26,10,1,3,5,19,0,4,3,10,1,16,0
15.0,GSG,24,11,3,4,3,8,0,5,4,20,0,10,0
16.0,EQ,23,14,5,14,0,7,2,12,3,14,0,9,4
17.0,UNDOGS,21,6,0,17,2,6,3,6,4,11,0,19,2
18.0,TPM,9,17,0,11,1,20,0,11,4,17,0,18,2
19.0,iRL,9,19,0,5,0,15,2,19,0,15,0,17,1
20.0,RT,6,20,0,19,0,9,1,16,0,19,0,13,2
