Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,WING,48,13,5,1,14,10,6,7,5,Lobby 1
2.0,Guppies,47,3,5,18,1,2,7,1,6,Lobby 1
3.0,TRP,39,7,1,6,9,4,4,3,7,Lobby 1
4.0,HP,34,15,0,3,5,1,8,11,0,Lobby 1
5.0,AE,33,2,18,9,3,15,0,17,0,Lobby 1
6.0,CIMJ,32,1,11,17,0,7,2,15,3,Lobby 1
7.0,RT,27,11,0,8,11,3,6,19,0,Lobby 1
8.0,YFP,27,19,0,4,2,17,2,2,9,Lobby 1
9.0,ZERO,25,4,2,11,0,5,7,5,2,Lobby 1
10.0,TAG NA,23,5,3,2,4,18,0,6,0,Lobby 1
11.0,CONT,21,18,0,12,0,9,5,4,8,Lobby 1
12.0,ING,19,6,5,7,2,16,3,14,2,Lobby 1
13.0,FBOSS,18,14,3,13,4,11,3,13,4,Lobby 1
14.0,Monke Mode 3B,13,9,0,5,0,6,1,8,1,Lobby 1
15.0,INTER,8,8,0,16,0,13,0,10,3,Lobby 1
16.0,Syndicate,8,10,0,10,0,12,0,9,1,Lobby 1
17.0,2-DAY,5,12,0,14,0,14,0,12,1,Lobby 1
18.0,HASH,4,16,0,15,0,19,0,16,3,Lobby 1
19.0,ELK,2,17,0,19,0,8,0,18,0,Lobby 1
20.0,laundro,0,20,0,20,0,20,0,20,0,Lobby 1
1.0,CCE UCX,53,2,6,18,1,1,6,3,12,Lobby 2
2.0,HCH,46,4,8,2,11,7,7,17,3,Lobby 2
3.0,SSU,39,5,4,1,15,18,0,13,3,Lobby 2
4.0,ONS,38,3,9,9,0,8,10,7,5,Lobby 2
5.0,CYLX,32,14,0,7,5,17,0,1,11,Lobby 2
6.0,GSG,32,1,7,5,3,5,1,14,0,Lobby 2
7.0,IRONIC,28,15,3,13,3,3,6,8,5,Lobby 2
8.0,TS,27,18,0,6,1,2,9,5,1,Lobby 2
9.0,ASUR,21,9,3,12,1,14,6,4,2,Lobby 2
10.0,iRL,18,20,0,16,1,16,0,2,8,Lobby 2
11.0,LNT,18,13,0,17,5,4,2,6,2,Lobby 2
12.0,UNDD,16,10,1,3,4,15,0,11,0,Lobby 2
13.0,U-2,14,16,0,4,2,6,4,16,0,Lobby 2
14.0,POSKITINO,12,7,3,10,1,13,1,12,0,Lobby 2
15.0,Prodigy,11,6,4,19,1,9,0,15,0,Lobby 2
16.0,AST,7,8,4,14,0,19,0,18,0,Lobby 2
17.0,Poseidon,5,11,2,15,0,12,0,19,0,Lobby 2
18.0,SDO,5,17,0,20,0,10,1,10,0,Lobby 2
19.0,SNOW,5,19,0,8,0,11,0,9,0,Lobby 2
20.0,RG,2,12,0,11,0,20,0,20,0,Lobby 2
1.0,RAWR,47,1,13,2,6,14,3,7,0,Lobby 3
2.0,VOID,46,2,4,3,6,3,6,6,4,Lobby 3
3.0,HVND,41,8,4,9,4,1,16,15,0,Lobby 3
4.0,PG,41,9,5,7,2,11,5,1,11,Lobby 3
5.0,UORG,39,7,6,10,6,2,9,9,2,Lobby 3
6.0,ChadP,33,14,1,5,1,5,2,2,11,Lobby 3
7.0,OSU Esports,32,6,0,1,7,19,0,3,3,Lobby 3
8.0,CDE,27,3,6,6,8,12,1,12,0,Lobby 3
9.0,RDM,22,5,4,8,2,9,6,8,0,Lobby 3
10.0,CBM,20,13,1,20,0,15,1,5,12,Lobby 3
11.0,Tuguy,19,4,7,18,1,8,1,10,1,Lobby 3
12.0,SKSQ,18,12,1,4,6,13,0,13,3,Lobby 3
13.0,MFAM,16,18,0,16,3,17,3,4,5,Lobby 3
14.0,cleevlund roxs,12,16,0,14,1,4,2,11,2,Lobby 3
15.0,MLUL,10,10,1,11,2,6,0,19,1,Lobby 3
16.0,WKM,10,15,0,12,2,7,2,14,0,Lobby 3
17.0,ill,6,11,4,15,0,16,0,18,0,Lobby 3
18.0,ABZ,5,17,0,13,1,18,0,16,3,Lobby 3
19.0,Shadow Point,3,19,0,17,0,20,0,17,3,Lobby 3
20.0,RT,2,20,0,19,0,10,0,20,0,Lobby 3
1.0,North,59,2,6,10,1,1,21,7,5,Lobby 4
2.0,ASH,56,6,4,2,14,8,12,4,7,Lobby 4
3.0,SHEESH,56,18,3,7,2,2,9,1,18,Lobby 4
4.0,CAA,40,3,8,4,5,19,0,2,6,Lobby 4
5.0,MBS,35,1,8,3,7,11,0,18,0,Lobby 4
6.0,PAF,30,7,2,1,11,9,0,19,0,Lobby 4
7.0,IGNORE,23,10,1,6,5,15,0,3,4,Lobby 4
8.0,RL,23,4,6,18,0,3,3,12,1,Lobby 4
9.0,SNOW,14,8,1,8,3,13,3,13,1,Lobby 4
10.0,PBI,13,5,1,20,0,5,1,8,1,Lobby 4
11.0,LFBois,12,12,2,5,1,12,0,6,0,Lobby 4
12.0,ZLB,11,14,2,14,1,6,0,17,3,Lobby 4
13.0,BBB,10,17,5,11,0,7,1,16,0,Lobby 4
14.0,KMA,9,19,0,9,0,18,3,14,3,Lobby 4
15.0,BR&C,9,11,0,15,0,10,2,11,2,Lobby 4
16.0,Anfield,8,9,1,13,2,14,0,20,1,Lobby 4
17.0,JOKER,8,15,0,12,3,17,0,9,1,Lobby 4
18.0,ARCB,8,13,1,16,0,20,0,5,2,Lobby 4
19.0,LF1M KP,8,20,0,17,1,4,0,10,0,Lobby 4
20.0,VQ,1,16,0,19,0,16,0,15,0,Lobby 4
