Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,WING,48,13,5,1,14,10,6,7,5
2.0,Guppies,47,3,5,18,1,2,7,1,6
3.0,TRP,39,7,1,6,9,4,4,3,7
4.0,HP,34,15,0,3,5,1,8,11,0
5.0,AE,33,2,18,9,3,15,0,17,0
6.0,CIMJ,32,1,11,17,0,7,2,15,3
7.0,RT,27,11,0,8,11,3,6,19,0
8.0,YFP,27,19,0,4,2,17,2,2,9
9.0,ZERO,25,4,2,11,0,5,7,5,2
10.0,TAG NA,23,5,3,2,4,18,0,6,0
11.0,CONT,21,18,0,12,0,9,5,4,8
12.0,ING,19,6,5,7,2,16,3,14,2
13.0,FBOSS,18,14,3,13,4,11,3,13,4
14.0,Monke Mode 3B,13,9,0,5,0,6,1,8,1
15.0,INTER,8,8,0,16,0,13,0,10,3
16.0,Syndicate,8,10,0,10,0,12,0,9,1
17.0,2-DAY,5,12,0,14,0,14,0,12,1
18.0,HASH,4,16,0,15,0,19,0,16,3
19.0,ELK,2,17,0,19,0,8,0,18,0
20.0,laundro,0,20,0,20,0,20,0,20,0
