Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,TRP,78,7,6,2,10,3,8,3,5,4,10,9,6
2.0,HCH,72,1,12,10,3,4,3,10,7,14,1,1,12
3.0,SSU,58,4,5,16,0,7,12,1,7,17,3,4,6
4.0,GSG,58,9,2,4,6,2,6,6,4,2,7,6,2
5.0,RT,51,3,5,5,2,10,1,14,2,1,14,15,0
6.0,iRL,46,18,0,1,14,16,0,2,8,18,0,11,2
7.0,AE,37,11,1,8,6,5,5,8,7,12,3,8,3
8.0,WING,35,16,0,14,3,18,0,7,3,7,3,2,10
9.0,CIMJ,32,20,0,18,0,1,11,15,0,8,6,18,0
10.0,ASUR,31,14,3,7,0,8,3,18,0,5,3,3,5
11.0,CCE UCX,27,8,6,17,0,14,0,11,0,3,2,5,4
12.0,Guppies,26,19,0,3,5,19,3,5,5,13,0,13,0
13.0,ONS,23,2,6,9,3,9,0,20,0,20,0,20,1
14.0,TS,20,5,4,12,0,12,3,4,0,16,0,12,1
15.0,IRONIC,18,17,3,20,0,20,0,9,3,11,0,10,7
16.0,YFP,18,13,2,6,5,13,2,17,0,10,2,17,0
17.0,TAG NA,15,10,3,19,0,15,0,12,2,9,1,7,0
18.0,HP,10,6,0,13,0,11,0,16,0,6,2,16,0
19.0,CYLX,8,12,0,15,0,6,3,19,0,19,0,19,0
20.0,ZERO,8,15,0,11,0,17,0,13,2,15,1,14,0
