C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,100T,75,5,4,1,17,2,7,4,6,3,4,19,0
2.0,FUR,75,1,11,3,4,18,2,2,7,4,3,2,6
3.0,ESA,67,20,0,6,9,10,7,11,4,1,16,5,9
4.0,SSG,66,11,2,2,4,1,10,14,2,2,7,7,6
5.0,COL,59,6,4,4,3,4,0,1,19,14,2,8,3
6.0,TOR,47,2,8,15,0,7,1,3,5,5,5,12,3
7.0,TL,45,12,2,7,2,6,5,9,0,11,3,1,11
8.0,SAF,28,13,2,18,0,8,5,16,0,20,1,3,10
9.0,BBG,26,15,1,5,9,16,5,5,1,18,0,13,0
10.0,UNL,26,4,2,8,1,3,2,12,0,13,0,10,3
11.0,C9,23,8,7,13,2,15,0,8,0,9,5,18,1
12.0,AGG,21,7,4,11,1,9,0,15,3,8,1,11,2
13.0,E8,21,3,4,10,0,12,0,20,0,7,2,9,0
14.0,DXT,17,9,1,14,0,17,0,10,1,12,3,4,1
15.0,SEN,16,14,2,19,0,11,2,7,4,16,0,17,3
16.0,OA,15,19,0,17,0,5,6,13,4,17,0,20,0
17.0,GFORCE,14,10,3,9,0,14,0,18,0,10,3,14,0
18.0,TDG,8,16,0,12,3,20,0,19,0,6,1,16,0
19.0,LVG,7,17,1,20,0,13,0,17,2,15,1,15,0
20.0,CAS,7,18,0,16,0,19,0,6,0,19,0,6,1
