A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SSG,85,2,11,14,0,1,12,2,9,1,9,14,0
2.0,G2,70,1,12,15,0,4,8,11,6,16,0,1,13
3.0,SEN,50,16,1,3,10,19,0,1,7,5,1,3,1
4.0,TSM,40,14,0,6,16,14,3,4,7,9,2,16,0
5.0,TOR,40,6,3,19,0,8,0,8,2,6,6,2,10
6.0,COL,40,5,3,17,0,3,6,6,3,4,5,12,3
7.0,E8,40,9,0,1,10,7,6,15,0,18,3,10,1
8.0,BAD,40,11,3,2,2,2,9,9,4,15,0,18,0
9.0,RNG,37,3,7,8,2,16,3,18,1,11,7,5,3
10.0,BP,30,20,0,11,3,6,2,10,0,2,1,4,4
11.0,TDG,29,7,4,18,3,15,1,7,4,10,3,6,2
12.0,UNL,27,8,0,16,0,5,2,3,7,12,0,8,2
13.0,LZR,23,18,0,12,0,10,3,12,2,8,5,11,6
14.0,DXT,22,10,7,9,3,9,2,19,3,14,0,20,0
15.0,XSET,22,12,0,13,0,18,1,14,1,3,5,7,2
16.0,CLX,19,17,2,7,2,20,0,20,0,7,6,15,2
17.0,SAF,19,4,3,4,2,12,0,17,0,19,0,17,3
18.0,AGG,14,13,0,5,0,11,0,5,1,20,0,9,1
19.0,NM,10,15,2,10,3,17,0,13,1,17,0,19,0
20.0,WASH,5,19,0,20,0,13,0,16,1,13,0,13,1
