,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 January 9, 2022 - 14:00 PSTWorld's Edge Last Minute RAWRXDTEEHEE LKM","Round 1 Round 1 January 9, 2022 - 14:00 PSTWorld's Edge Last Minute RAWRXDTEEHEE LKM","Round 2 Round 2 January 9, 2022 - 14:35 PSTWorld's Edge Last Minute RCO eSports Counter Logic Gaming","Round 2 Round 2 January 9, 2022 - 14:35 PSTWorld's Edge Last Minute RCO eSports Counter Logic Gaming","Round 3 Round 3 January 9, 2022 - 15:10 PSTWorld's Edge eRa Eternity Running Late BAD BOYS","Round 3 Round 3 January 9, 2022 - 15:10 PSTWorld's Edge eRa Eternity Running Late BAD BOYS","Round 4 Round 4 January 9, 2022 - 15:45 PSTWorld's Edge Counter Logic Gaming Nightmare Casuals","Round 4 Round 4 January 9, 2022 - 15:45 PSTWorld's Edge Counter Logic Gaming Nightmare Casuals","Round 5 Round 5 January 9, 2022 - 16:20 PSTWorld's Edge D A B Last Minute Optimal Ambition","Round 5 Round 5 January 9, 2022 - 16:20 PSTWorld's Edge D A B Last Minute Optimal Ambition","Round 6 Round 6 January 9, 2022 - 16:55 PSTWorld's Edge RCO eSports Washed Nightmare","Round 6 Round 6 January 9, 2022 - 16:55 PSTWorld's Edge RCO eSports Washed Nightmare"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,LM,94,1,12,1,12,7,1,20,0,2,19,17,5
1,2.0,CLG,66,14,0,3,11,11,1,1,16,20,0,9,5
2,3.0,NM,60,10,0,13,2,9,5,2,11,8,4,3,8
3,4.0,WASH,51,17,3,11,5,20,0,17,5,4,9,2,8
4,5.0,RCO,49,5,3,2,4,16,1,8,0,6,0,1,3
5,6.0,OA,46,6,2,9,0,5,7,14,0,3,9,5,7
6,7.0,SAF,36,4,0,12,2,12,5,6,5,15,0,4,4
7,8.0,D A B,34,20,0,8,2,6,1,9,1,1,7,11,0
8,9.0,TDG,31,8,8,7,0,8,3,10,7,19,0,10,2
9,10.0,LVG,31,11,4,15,2,13,2,11,3,5,1,7,3
10,11.0,LKM,30,3,12,10,3,14,2,16,0,14,0,13,0
11,12.0,BAD,29,12,3,20,2,3,8,12,3,13,3,16,0
12,13.0,CAS,27,7,5,14,1,10,0,3,3,9,1,15,1
13,14.0,My Neck My Back,27,13,0,5,0,4,5,5,1,10,0,6,2
14,15.0,RL,25,19,0,16,2,2,7,18,0,11,0,8,2
15,16.0,ERA,22,15,0,18,0,1,5,15,1,18,1,12,0
16,17.0,RAWR,21,2,2,19,0,18,0,7,0,7,2,19,2
17,18.0,CCE,19,18,0,4,10,19,0,19,0,16,1,14,2
18,19.0,AST,17,9,1,6,3,17,3,13,1,12,0,18,2
19,20.0,Boston Monsters,7,16,0,17,0,15,1,4,0,17,0,20,0
