,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 12, 2021 - 12:00 PDTWorld's Edge Titanes The Semi Pros SMP","Round 1 Round 1 September 12, 2021 - 12:00 PDTWorld's Edge Titanes The Semi Pros SMP","Round 2 Round 2 September 12, 2021 - 12:30 PDTWorld's Edge BenchWarmers SXG Dudes Night Out","Round 2 Round 2 September 12, 2021 - 12:30 PDTWorld's Edge BenchWarmers SXG Dudes Night Out","Round 3 Round 3 September 12, 2021 - 13:00 PDTWorld's Edge Noble Optimal Ambition SMP","Round 3 Round 3 September 12, 2021 - 13:00 PDTWorld's Edge Noble Optimal Ambition SMP","Round 4 Round 4 September 12, 2021 - 13:30 PDTWorld's Edge Dudes Night Out Noble The Semi Pros","Round 4 Round 4 September 12, 2021 - 13:30 PDTWorld's Edge Dudes Night Out Noble The Semi Pros"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,DNO,63,102,88,37,55,45,1010,112,1414
1,2.0,NBL,44,54,66,180,0,112,99,29,44
2,3.0,BW,42,73,44,112,99,111,11,45,77
3,4.0,The Semi Pros,35,29,88,121,66,170,0,37,44
4,5.0,OA,34,82,0,54,55,29,77,92,55
5,6.0,SMP,30,37,88,111,11,37,22,63,11
6,7.0,CLX,24,151,55,63,44,92,55,141,33
7,8.0,Titanes,24,112,44,160,0,54,22,102,0
8,9.0,SXG,21,160,0,29,77,131,22,121,11
9,10.0,Hooiya,20,190,22,82,11,63,33,54,55
10,11.0,My Neck My Back,19,45,77,45,11,151,0,190,0
11,12.0,ROT,15,131,0,73,22,121,11,131,66
12,13.0,RCO,15,63,11,92,33,141,22,73,0
13,14.0,gibbyhands,14,111,0,131,0,73,66,82,11
14,15.0,Hardstuck10k,9,92,0,190,0,82,11,111,33
15,16.0,Spooky Scary,4,121,11,151,0,190,11,160,0
16,17.0,SQS Gaming,4,141,0,141,0,102,0,180,0
17,18.0,Insane Xboxsers,3,170,0,102,0,160,0,151,0
18,19.0,Dumpsters,2,180,0,170,22,180,0,170,0
19,20.0,AGL,0,200,0,200,0,200,0,200,0
