,0,1,2,3,4,5,6,7,8,9,10
0,StandingsPlacements and killsPoints,,,,,,,,,,
1,Team,Total,"Round 1
Round 1

September 12, 2021 - 12:00 PDTWorld's Edge Rolla Theory Lonely Fans Neanderthals","Round 2
Round 2

September 12, 2021 - 12:30 PDTWorld's Edge Sussy Bakas Unlucky Estral Esports","Round 3
Round 3

September 12, 2021 - 13:00 PDTWorld's Edge Estral Esports Absolute Monarchy Rolla Theory","Round 4
Round 4

September 12, 2021 - 13:30 PDTWorld's Edge Absolute Monarchy Nightmare Aisle 5",,,,,
2,P,K,P,K,P,K,P,K,,,
3,1.,AM,62,141,11,92,88,29,1616,112,1313
4,2.,EST,45,92,22,37,1111,112,66,92,33
5,3.,LF,39,29,44,54,33,45,77,63,44
6,4.,RT,37,112,99,151,22,37,44,141,11
7,5.,NEAN,30,37,1010,180,00,82,33,45,33
8,6.,Sussy Bakas,30,73,33,112,44,141,22,121,44
9,7.,Unlucky,28,131,11,29,22,92,33,54,66
10,8.,NM,21,160,00,73,33,151,00,29,55
11,9.,Los Hefes,20,45,55,63,22,102,33,170,00
12,10.,Aisle 5,19,63,33,190,00,54,22,37,00
13,11.,MOAN,17,82,33,141,66,73,22,190,00
14,12.,GNR,16,102,33,170,33,121,55,131,11
15,13.,TPM,15,54,11,121,00,131,00,73,55
16,14.,Sniper Meta,13,111,55,160,00,160,00,111,66
17,15.,Tijuana Piranas,10,200,00,45,55,180,00,200,00
18,16.,FROG,10,151,00,102,33,190,00,82,22
19,17.,BQB,8,121,44,111,00,170,00,102,00
20,18.,ZERO,7,170,00,82,11,111,11,180,22
21,19.,2 Zoomers1boomer,6,180,00,200,00,63,00,151,22
22,20.,1 vs Lobby,4,190,22,131,11,200,00,160,00
