,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Never Lucky,67,67
1,2.0,O TAMA,55,55
2,3.0,LZR,52,52
3,4.0,SLS,40,40
4,5.0,Undisputed,33,33
5,6.0,SDO,30,30
6,7.0,Siracha,28,28
7,8.0,Meow Syndicate,21,21
8,9.0,IntentionalWhite,18,18
9,10.0,The Fudges,14,14
10,11.0,CVS,14,14
11,12.0,Gryphon Gaming,11,11
12,13.0,Gods Plan Gaming,10,10
13,14.0,DeGents,6,6
14,15.0,Team Possessed,5,5
15,16.0,He’s One Shot,5,5
16,17.0,WiseGuyz,1,1
17,18.0,Club Cobra,0,0
18,19.0,GPS,0,0
19,20.0,BrownieBoys,0,0
