,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 16:00 BRTWorld's Edge AK47 Time variat Auto Sigma Team","Round 1 Round 1 April 16, 2022 - 16:00 BRTWorld's Edge AK47 Time variat Auto Sigma Team","Round 2 Round 2 April 16, 2022 - 16:35 BRTWorld's Edge Sigma Team Quasar Legends AK47","Round 2 Round 2 April 16, 2022 - 16:35 BRTWorld's Edge Sigma Team Quasar Legends AK47","Round 3 Round 3 April 16, 2022 - 17:10 BRTWorld's Edge Team Cerberus Quasar Legends Time variat Auto","Round 3 Round 3 April 16, 2022 - 17:10 BRTWorld's Edge Team Cerberus Quasar Legends Time variat Auto","Round 4 Round 4 April 16, 2022 - 17:45 BRTStorm Point SINS FIREDRAGON Time variat Auto Quasar Legends","Round 4 Round 4 April 16, 2022 - 17:45 BRTStorm Point SINS FIREDRAGON Time variat Auto Quasar Legends","Round 5 Round 5 April 16, 2022 - 18:20 BRTStorm Point AK47 Malardos Forever HARDCLICKTEAM","Round 5 Round 5 April 16, 2022 - 18:20 BRTStorm Point AK47 Malardos Forever HARDCLICKTEAM","Round 6 Round 6 April 16, 2022 - 18:55 BRTStorm Point AK47 Malardos Forever SINS FIREDRAGON","Round 6 Round 6 April 16, 2022 - 18:55 BRTStorm Point AK47 Malardos Forever SINS FIREDRAGON"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,AK47,121,1,6,3,8,5,11,4,5,1,21,1,18
1,2.0,QUAS,56,5,1,2,6,2,8,3,3,4,2,9,0
2,3.0,SFD,50,6,4,9,2,7,0,1,9,8,0,3,6
3,4.0,TVA,43,2,1,8,2,3,4,2,5,9,0,10,0
4,5.0,SIG,39,3,5,1,7,11,0,12,0,12,0,8,3
5,6.0,HARD,35,10,3,12,0,4,3,9,3,3,3,7,3
6,7.0,TCS,30,11,0,5,3,1,7,11,0,11,0,12,0
7,8.0,2k ping,26,8,0,4,3,9,2,10,0,6,3,6,1
8,9.0,MALA,25,12,0,6,0,12,0,8,0,2,0,2,0
9,10.0,OSO,24,9,2,10,0,6,2,7,3,10,0,4,0
10,11.0,AIMC,20,7,2,11,0,8,0,6,2,7,0,5,0
11,12.0,NICA,20,4,1,7,0,10,0,5,0,5,0,11,0
12,13.0,MAUA,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14.0,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15.0,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16.0,PVP,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17.0,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0
