,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Love Egirls,54,5
1,2.0,ElemenT,46,46
2,3.0,SP,45,4
3,4.0,ZISKA,40,40
4,5.0,NÃO sei,33,33
5,6.0,AGCL,32,32
6,7.0,sFx,31,31
7,8.0,HU3HU3HU3BR,24,24
8,9.0,Inka Supremacy,19,19
9,10.0,Seven,17,17
10,11.0,1crack2crack,17,17
11,12.0,PATETEX,16,16
12,13.0,ZGravityEsports,16,16
13,14.0,KARMA K41,15,15
14,15.0,Spartan Warriors,12,12
15,16.0,KPS,8,8
16,17.0,Squad Sombra,7,7
17,18.0,OS KRACUDOS,6,6
18,19.0,BRATVA420Forever,4,4
19,20.0,SCAL,1,1
