Standings,Slav Animals,54,5,Lobby,AIM,55,55.1
2.0,As Misera,41.0,41.0,Lobby 1,,,
3.0,TK,41.0,41.0,Lobby 1,,,
4.0,ZETTA,35.0,35.0,Lobby 1,,,
5.0,USB,34.0,34.0,Lobby 1,,,
6.0,Blagueur,31.0,31.0,Lobby 1,,,
7.0,SLU,31.0,31.0,Lobby 1,,,
8.0,Coquinha gelada,28.0,28.0,Lobby 1,,,
9.0,CIA,25.0,25.0,Lobby 1,,,
10.0,Pandora,20.0,20.0,Lobby 1,,,
11.0,Duty calls,16.0,16.0,Lobby 1,,,
12.0,BRZ,15.0,15.0,Lobby 1,,,
13.0,Team Magestic,14.0,14.0,Lobby 1,,,
14.0,Sobek,13.0,13.0,Lobby 1,,,
15.0,UltiMaTuM,12.0,12.0,Lobby 1,,,
16.0,BHT,10.0,10.0,Lobby 1,,,
17.0,OnlyResenha,6.0,6.0,Lobby 1,,,
18.0,Mystical,6.0,6.0,Lobby 1,,,
19.0,Keep Moving Fwd,5.0,5.0,Lobby 1,,,
20.0,Natural Killer,0.0,0.0,Lobby 1,,,
2.0,,,,Lobby 2,OF,51.0,51.0
3.0,,,,Lobby 2,ElemenT,42.0,42.0
4.0,,,,Lobby 2,TCS,42.0,42.0
5.0,,,,Lobby 2,AGCL,35.0,35.0
6.0,,,,Lobby 2,sFx,27.0,27.0
7.0,,,,Lobby 2,SP,26.0,26.0
8.0,,,,Lobby 2,Love Egirls,26.0,26.0
9.0,,,,Lobby 2,BTH,26.0,26.0
10.0,,,,Lobby 2,New Age,24.0,24.0
11.0,,,,Lobby 2,PTX,23.0,23.0
12.0,,,,Lobby 2,NÃO sei,16.0,16.0
13.0,,,,Lobby 2,Infinity Evo,12.0,12.0
14.0,,,,Lobby 2,1crack2crack,11.0,11.0
15.0,,,,Lobby 2,OMEGA,6.0,6.0
16.0,,,,Lobby 2,LostSoulsDreamer,5.0,5.0
17.0,,,,Lobby 2,HU3HU3HU3BR,5.0,5.0
18.0,,,,Lobby 2,Inka Supremacy,4.0,4.0
19.0,,,,Lobby 2,ZISKA,4.0,4.0
20.0,,,,Lobby 2,Svart Katze,2.0,2.0
