Standings,Team.1,Total,Lobby,Round
1.0,SEM ORG,58,Lobby 1,Round_1
2.0,War Brothers BR,47,Lobby 1,Round_1
3.0,USB,44,Lobby 1,Round_1
4.0,Slav Animals,30,Lobby 1,Round_1
5.0,CIA,30,Lobby 1,Round_1
6.0,Sobek,28,Lobby 1,Round_1
7.0,Chimera,28,Lobby 1,Round_1
8.0,LIONS,26,Lobby 1,Round_1
9.0,Bicentenario,12,Lobby 1,Round_1
10.0,PVP,10,Lobby 1,Round_1
11.0,ALFA WARRIORS,9,Lobby 1,Round_1
12.0,TEAM HANDICAP,6,Lobby 1,Round_1
13.0,Tarapaca Gaming,0,Lobby 1,Round_1
1.0,OnlyResenha,48,Lobby 2,Round_1
2.0,TK,48,Lobby 2,Round_1
3.0,SLU,46,Lobby 2,Round_1
4.0,Team Magestic,45,Lobby 2,Round_1
5.0,Duty calls,41,Lobby 2,Round_1
6.0,UltiMaTuM,24,Lobby 2,Round_1
7.0,KDT - Amber,21,Lobby 2,Round_1
8.0,Live n Kill,21,Lobby 2,Round_1
9.0,Team Paragua,16,Lobby 2,Round_1
10.0,Lovely Venom,8,Lobby 2,Round_1
11.0,Perritos tiernos,7,Lobby 2,Round_1
12.0,Olympians,7,Lobby 2,Round_1
1.0,Pandora,52,Lobby 3,Round_1
2.0,EASY CLAP,46,Lobby 3,Round_1
3.0,BHT,36,Lobby 3,Round_1
4.0,ICEBERGS,36,Lobby 3,Round_1
5.0,Keep Moving Fwd,34,Lobby 3,Round_1
6.0,2 And a Half Man,29,Lobby 3,Round_1
7.0,PoliShopu,29,Lobby 3,Round_1
8.0,PiscoSour,27,Lobby 3,Round_1
9.0,Voy a Hacer,14,Lobby 3,Round_1
10.0,Natural Killer,14,Lobby 3,Round_1
11.0,VAPO VAPO,11,Lobby 3,Round_1
12.0,Lobo De Gelo,11,Lobby 3,Round_1
13.0,Dragão Elite,9,Lobby 3,Round_1
1.0,BRZ,79,Lobby 4,Round_1
2.0,ZETTA,40,Lobby 4,Round_1
3.0,Blagueur,38,Lobby 4,Round_1
4.0,Coquinha gelada,37,Lobby 4,Round_1
5.0,Mystical,29,Lobby 4,Round_1
6.0,As Misera,23,Lobby 4,Round_1
7.0,Fluxo Team,22,Lobby 4,Round_1
8.0,Sory,22,Lobby 4,Round_1
9.0,xKarma,15,Lobby 4,Round_1
10.0,Tharsis,13,Lobby 4,Round_1
11.0,CHTM,11,Lobby 4,Round_1
12.0,LosÁlamosGaming,8,Lobby 4,Round_1
13.0,Mafia Legends,3,Lobby 4,Round_1
1.0,OF,60,Lobby 5,Round_1
2.0,AIM,59,Lobby 5,Round_1
3.0,TCS,39,Lobby 5,Round_1
4.0,Infinity Evo,33,Lobby 5,Round_1
5.0,KZN,24,Lobby 5,Round_1
6.0,Os MIAU,22,Lobby 5,Round_1
7.0,Los perro waton,21,Lobby 5,Round_1
8.0,New Age,18,Lobby 5,Round_1
9.0,Svart Katze,17,Lobby 5,Round_1
10.0,LostSoulsDreamer,16,Lobby 5,Round_1
11.0,Legión de monos,12,Lobby 5,Round_1
12.0,TRAGIIC BR,11,Lobby 5,Round_1
13.0,AleatorioS Team,10,Lobby 5,Round_1
1.0,BTH,60,Lobby 6,Round_1
2.0,Teletubbies,56,Lobby 6,Round_1
3.0,OMEGA,45,Lobby 6,Round_1
4.0,NOKID E-SPORTS,31,Lobby 6,Round_1
5.0,ROCKETZ TEAM,30,Lobby 6,Round_1
6.0,Vingadores Team,22,Lobby 6,Round_1
7.0,Taichi Horror,20,Lobby 6,Round_1
8.0,Yakuza,19,Lobby 6,Round_1
9.0,PTX,19,Lobby 6,Round_1
10.0,Dark fears,17,Lobby 6,Round_1
11.0,EZPIKERS,14,Lobby 6,Round_1
12.0,SussyBaka,10,Lobby 6,Round_1
1.0,Love Egirls,61,Lobby 7,Round_1
2.0,ZGravityEsports,52,Lobby 7,Round_1
3.0,KARMA K41,48,Lobby 7,Round_1
4.0,Seven,38,Lobby 7,Round_1
5.0,ElemenT,30,Lobby 7,Round_1
6.0,NÃO sei,26,Lobby 7,Round_1
7.0,HU3HU3HU3BR,25,Lobby 7,Round_1
8.0,Squad Sombra,20,Lobby 7,Round_1
9.0,OS KRACUDOS,17,Lobby 7,Round_1
10.0,KPS,10,Lobby 7,Round_1
11.0,MASE,9,Lobby 7,Round_1
12.0,Sons of Anarchy,7,Lobby 7,Round_1
13.0,X RyZe Gaming,4,Lobby 7,Round_1
1.0,SP,62,Lobby 8,Round_1
2.0,AGCL,57,Lobby 8,Round_1
3.0,ZISKA,44,Lobby 8,Round_1
4.0,Inka Supremacy,41,Lobby 8,Round_1
5.0,sFx,23,Lobby 8,Round_1
6.0,PATETEX,22,Lobby 8,Round_1
7.0,BRATVA420Forever,22,Lobby 8,Round_1
8.0,1crack2crack,21,Lobby 8,Round_1
9.0,Spartan Warriors,16,Lobby 8,Round_1
10.0,SCAL,13,Lobby 8,Round_1
11.0,Dynanik Team 1,8,Lobby 8,Round_1
12.0,SEQL,5,Lobby 8,Round_1
