Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,TK,99,2,7,1,18,8,2,2,11,15,2,1,14,Lobby 1
2.0,Duty calls,81,1,12,6,5,4,7,1,11,10,4,3,1,Lobby 1
3.0,MonsTer Team,46,9,0,8,2,13,0,3,12,9,6,6,9,Lobby 1
4.0,PRDX,45,16,0,3,9,9,0,8,3,1,9,11,0,Lobby 1
5.0,ZETTA,41,17,0,2,2,1,7,15,0,6,4,15,2,Lobby 1
6.0,ElemenT,36,5,6,7,0,7,11,18,0,8,4,12,2,Lobby 1
7.0,Chimera,36,19,0,19,0,5,3,19,0,2,13,9,5,Lobby 1
8.0,OMEGA,35,7,4,16,0,2,6,7,2,4,0,13,2,Lobby 1
9.0,ALFA WARRIORS,33,3,5,10,1,12,3,12,2,11,2,8,6,Lobby 1
10.0,KZN,31,6,5,5,3,17,1,6,3,3,1,16,1,Lobby 1
11.0,As Misera,29,10,4,12,0,6,0,11,0,7,0,2,6,Lobby 1
12.0,OF,28,15,1,4,2,14,5,4,3,19,0,7,2,Lobby 1
13.0,BTH,26,12,0,9,6,10,5,20,0,5,3,10,1,Lobby 1
14.0,AGCL,23,14,0,17,1,3,3,5,0,20,0,4,2,Lobby 1
15.0,Online,19,4,4,13,1,11,0,13,0,12,5,18,0,Lobby 1
16.0,Love Egirls,18,11,0,14,3,19,0,10,8,17,3,19,0,Lobby 1
17.0,USB,17,20,0,11,2,18,0,17,1,13,1,5,7,Lobby 1
18.0,AK47,14,8,5,15,0,16,0,9,2,16,1,14,0,Lobby 1
19.0,SLU,3,18,0,20,0,20,0,16,0,14,0,17,2,Lobby 1
20.0,sFx,3,13,0,18,0,15,0,14,0,18,0,20,0,Lobby 1
