Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,OF,63,3,6,2,11,1,11,11,6,Lobby 1
2.0,Chimera,54,5,5,1,5,13,0,1,15,Lobby 1
3.0,SST,42,1,12,15,3,7,1,7,7,Lobby 1
4.0,Sobek,38,9,1,11,3,2,10,2,3,Lobby 1
5.0,BRZ,28,4,3,3,6,9,3,13,1,Lobby 1
6.0,PRDX,25,2,7,10,3,15,0,10,1,Lobby 1
7.0,AK47,23,10,1,8,8,11,3,9,4,Lobby 1
8.0,SussyBaka,23,15,0,5,3,10,4,5,5,Lobby 1
9.0,ROCKETZ TEAM,20,11,4,9,1,14,1,3,3,Lobby 1
10.0,BHT,15,13,1,12,0,8,5,4,0,Lobby 1
11.0,BTH,15,6,2,4,3,16,0,8,0,Lobby 1
12.0,TRAGIIC BR,14,16,0,6,3,5,2,12,1,Lobby 1
13.0,Os MIAU,13,14,0,7,0,3,1,14,0,Lobby 1
14.0,Infinity Evo,12,12,3,16,1,17,1,6,3,Lobby 1
15.0,Aoba Team,11,7,0,13,0,6,4,16,0,Lobby 1
16.0,Spartan Warriors,7,8,0,17,0,4,0,17,0,Lobby 1
17.0,Morri Nem Vi,3,17,0,14,0,12,0,15,0,Lobby 1
1.0,Slav Animals,78,1,17,1,9,7,2,1,11,Lobby 2
2.0,Love Egirls,47,14,5,15,4,4,16,9,13,Lobby 2
3.0,ALFA WARRIORS,45,6,3,2,6,1,10,8,0,Lobby 2
4.0,KZN,43,2,1,6,9,2,11,12,0,Lobby 2
5.0,As Misera,30,8,3,3,4,5,3,5,3,Lobby 2
6.0,Natural Killer,25,7,9,7,4,6,0,16,3,Lobby 2
7.0,LIONS,25,5,1,13,1,3,3,7,5,Lobby 2
8.0,sFx,21,15,0,12,0,10,0,3,10,Lobby 2
9.0,Taichi Horror,20,3,2,9,5,13,0,6,0,Lobby 2
10.0,Tres Rosas,14,4,4,14,0,8,1,11,0,Lobby 2
11.0,Tharsis,13,9,1,17,0,12,2,4,2,Lobby 2
12.0,PPEX,12,13,0,11,0,18,0,2,1,Lobby 2
13.0,PTX,11,16,0,5,3,9,0,10,0,Lobby 2
14.0,ZISKA,7,11,0,4,1,16,0,17,0,Lobby 2
15.0,PATETEX,6,17,0,8,0,17,0,15,3,Lobby 2
16.0,Team Paragua,5,18,0,10,0,15,1,13,0,Lobby 2
17.0,LosÁlamosGaming,4,10,0,16,0,14,0,14,0,Lobby 2
18.0,ADN,3,12,0,18,0,11,1,18,0,Lobby 2
1.0,Duty calls,82,5,11,1,13,1,10,5,16,Lobby 3
2.0,AIM,47,15,0,3,6,8,3,1,16,Lobby 3
3.0,USB,40,3,6,6,3,7,5,2,4,Lobby 3
4.0,Seven,38,1,4,11,0,2,10,9,0,Lobby 3
5.0,AsheTeam,34,2,6,4,2,4,2,7,2,Lobby 3
6.0,Fluxo Team,21,6,7,7,5,11,1,14,0,Lobby 3
7.0,MonsTer Team,21,10,0,12,0,5,7,4,2,Lobby 3
8.0,PVP,20,16,0,2,7,15,0,6,0,Lobby 3
9.0,ElemenT,19,8,1,10,2,3,3,11,1,Lobby 3
10.0,KPS,18,7,1,8,2,10,0,3,1,Lobby 3
11.0,xKarma,14,14,0,5,2,6,2,10,0,Lobby 3
12.0,LostSoulsDreamer,12,4,3,9,0,13,0,13,0,Lobby 3
13.0,TBG,9,13,2,14,0,12,0,12,3,Lobby 3
14.0,KARMA K41,7,11,3,15,0,16,0,15,1,Lobby 3
15.0,Against All Odds,6,9,0,13,0,14,0,8,0,Lobby 3
16.0,Bicentenario,3,12,0,16,0,9,0,16,0,Lobby 3
17.0,Squad Sombra,0,20,0,20,0,20,0,20,0,Lobby 3
1.0,UltiMaTuM,49,2,8,1,7,14,3,5,5,Lobby 4
2.0,ZETTA,42,14,2,3,8,6,5,2,7,Lobby 4
3.0,TK,37,16,0,2,6,3,14,15,0,Lobby 4
4.0,AGCL,36,4,3,8,1,1,9,11,3,Lobby 4
5.0,OMEGA,36,12,0,6,4,2,7,3,5,Lobby 4
6.0,Mystical,36,1,4,5,4,5,4,8,2,Lobby 4
7.0,Lovely Venom,29,6,1,13,0,7,1,1,8,Lobby 4
8.0,ICEBERGS,23,7,3,10,1,16,0,4,9,Lobby 4
9.0,SLU,19,8,7,4,1,15,0,9,1,Lobby 4
10.0,Online,16,15,1,14,4,10,2,6,2,Lobby 4
11.0,Mafia Legends,15,5,2,7,3,8,0,14,0,Lobby 4
12.0,GDb,14,3,4,11,0,9,0,16,0,Lobby 4
13.0,AWD,11,9,0,9,3,12,0,7,0,Lobby 4
14.0,BRATVA420Forever,11,11,2,15,0,4,1,12,0,Lobby 4
15.0,Legión de monos,6,10,0,12,0,11,0,10,0,Lobby 4
16.0,TVG,3,13,0,16,0,13,0,13,0,Lobby 4
17.0,PiscoSour,0,20,0,20,0,20,0,20,0,Lobby 4
18.0,EASY CLAP,0,20,0,20,0,20,0,20,0,Lobby 4
