Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,UltiMaTuM,49,2,8,1,7,14,3,5,5
2.0,ZETTA,42,14,2,3,8,6,5,2,7
3.0,TK,37,16,0,2,6,3,14,15,0
4.0,AGCL,36,4,3,8,1,1,9,11,3
5.0,OMEGA,36,12,0,6,4,2,7,3,5
6.0,Mystical,36,1,4,5,4,5,4,8,2
7.0,Lovely Venom,29,6,1,13,0,7,1,1,8
8.0,ICEBERGS,23,7,3,10,1,16,0,4,9
9.0,SLU,19,8,7,4,1,15,0,9,1
10.0,Online,16,15,1,14,4,10,2,6,2
11.0,Mafia Legends,15,5,2,7,3,8,0,14,0
12.0,GDb,14,3,4,11,0,9,0,16,0
13.0,AWD,11,9,0,9,3,12,0,7,0
14.0,BRATVA420Forever,11,11,2,15,0,4,1,12,0
15.0,Legión de monos,6,10,0,12,0,11,0,10,0
16.0,TVG,3,13,0,16,0,13,0,13,0
17.0,PiscoSour,0,20,0,20,0,20,0,20,0
18.0,EASY CLAP,0,20,0,20,0,20,0,20,0
