,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 12:00 BRTWorld's Edge Slav Animals Kaizen Esports Taichi Horror","Round 1 Round 1 October 2, 2021 - 12:00 BRTWorld's Edge Slav Animals Kaizen Esports Taichi Horror","Round 2 Round 2 October 2, 2021 - 12:30 BRTWorld's Edge Slav Animals ALFA WARRIORS As Misera","Round 2 Round 2 October 2, 2021 - 12:30 BRTWorld's Edge Slav Animals ALFA WARRIORS As Misera","Round 3 Round 3 October 2, 2021 - 13:00 BRTWorld's Edge ALFA WARRIORS Kaizen Esports LIONS","Round 3 Round 3 October 2, 2021 - 13:00 BRTWorld's Edge ALFA WARRIORS Kaizen Esports LIONS","Round 4 Round 4 October 2, 2021 - 13:30 BRTWorld's Edge Slav Animals PPEX Silver Foxes","Round 4 Round 4 October 2, 2021 - 13:30 BRTWorld's Edge Slav Animals PPEX Silver Foxes"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Slav Animals,78,1,17,1,9,7,2,1,11
1,2.0,Love Egirls,47,14,5,15,4,4,16,9,13
2,3.0,ALFA WARRIORS,45,6,3,2,6,1,10,8,0
3,4.0,KZN,43,2,1,6,9,2,11,12,0
4,5.0,As Misera,30,8,3,3,4,5,3,5,3
5,6.0,Natural Killer,25,7,9,7,4,6,0,16,3
6,7.0,LIONS,25,5,1,13,1,3,3,7,5
7,8.0,sFx,21,15,0,12,0,10,0,3,10
8,9.0,Taichi Horror,20,3,2,9,5,13,0,6,0
9,10.0,Tres Rosas,14,4,4,14,0,8,1,11,0
10,11.0,Tharsis,13,9,1,17,0,12,2,4,2
11,12.0,PPEX,12,13,0,11,0,18,0,2,1
12,13.0,PTX,11,16,0,5,3,9,0,10,0
13,14.0,ZISKA,7,11,0,4,1,16,0,17,0
14,15.0,PATETEX,6,17,0,8,0,17,0,15,3
15,16.0,Team Paragua,5,18,0,10,0,15,1,13,0
16,17.0,LosÁlamosGaming,4,10,0,16,0,14,0,14,0
17,18.0,ADN,3,12,0,18,0,11,1,18,0
