Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,OF,85,4,5,13,3,3,14,1,10,8,7,1,7
2.0,Chimera,68,7,6,2,6,6,2,6,7,11,6,2,13
3.0,BTH,62,1,9,12,0,1,8,20,1,2,6,7,1
4.0,KZN,54,3,6,1,12,20,0,2,6,9,0,16,0
5.0,ALFA WARRIORS,52,2,7,11,2,10,0,11,9,1,8,13,0
6.0,As Misera,38,5,2,10,0,4,2,3,2,3,0,5,3
7.0,AK47,35,12,3,9,5,14,4,8,10,16,0,4,2
8.0,PRDX,31,11,3,7,0,11,6,5,3,5,4,10,0
9.0,Love Egirls,30,16,3,8,6,8,1,14,0,4,6,6,1
10.0,sFx,30,18,0,6,4,5,1,4,2,15,0,3,3
11.0,BRZ,29,8,1,20,0,2,7,7,0,10,1,8,2
12.0,Sobek,26,9,3,5,4,9,4,12,0,6,3,17,0
13.0,Slav Animals,24,17,0,4,5,13,5,17,0,18,0,9,6
14.0,Natural Killer,18,19,0,14,0,7,1,15,2,17,0,11,9
15.0,Tres Rosas,17,15,0,3,3,19,1,18,0,14,3,14,0
16.0,ROCKETZ TEAM,15,10,4,17,2,12,0,10,2,12,0,15,0
17.0,SST,15,14,3,18,0,16,2,9,0,7,3,12,0
18.0,Taichi Horror,6,6,0,19,0,17,0,13,2,20,0,20,0
19.0,SussyBaka,5,20,0,15,3,18,0,16,0,13,0,18,0
20.0,LIONS,3,13,0,16,0,15,1,19,0,20,0,20,0
