,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 12:00 BRTWorld's Edge Mystical Union eSports Br AsheTeam","Round 1 Round 1 October 9, 2021 - 12:00 BRTWorld's Edge Mystical Union eSports Br AsheTeam","Round 2 Round 2 October 9, 2021 - 12:35 BRTWorld's Edge AsheTeam SLU Os MIAU","Round 2 Round 2 October 9, 2021 - 12:35 BRTWorld's Edge AsheTeam SLU Os MIAU","Round 3 Round 3 October 9, 2021 - 13:10 BRTWorld's Edge JUST AIM AsheTeam OS CRIAS","Round 3 Round 3 October 9, 2021 - 13:10 BRTWorld's Edge JUST AIM AsheTeam OS CRIAS","Round 4 Round 4 October 9, 2021 - 13:45 BRTWorld's Edge JUST AIM Pandora As Misera","Round 4 Round 4 October 9, 2021 - 13:45 BRTWorld's Edge JUST AIM Pandora As Misera"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,AsheTeam,64,3,8,1,13,2,7,4,3
1,2.0,AIM,55,12,0,10,7,1,11,1,10
2,3.0,SLU,48,7,4,2,8,4,8,8,9
3,4.0,Mystical,37,1,11,8,1,13,1,6,6
4,5.0,USB,31,2,5,9,6,9,6,13,0
5,6.0,Os MIAU,20,4,2,3,0,8,0,10,2
6,7.0,As Misera,18,14,0,4,2,14,0,3,2
7,8.0,OS CRIAS,17,10,1,6,0,3,2,9,0
8,9.0,Pandora,16,9,0,13,0,5,0,2,0
9,10.0,AK47,13,6,3,14,0,7,2,14,0
10,11.0,sFx,11,8,0,12,0,10,0,7,3
11,12.0,Vingadores Team,11,11,0,5,1,11,0,5,0
12,13.0,No Regrets,10,5,1,7,0,12,0,12,0
13,14.0,TVG,6,13,0,11,0,6,0,11,0
