Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round
1.0,MonsTer Team,99,4,13,1,16,19,0,1,14,5,6,4,12,Lobby 1,Semifinals
2.0,OF,65,9,9,12,3,9,9,12,3,1,13,6,7,Lobby 1,Semifinals
3.0,PRDX,63,5,1,4,2,2,4,2,7,6,1,1,6,Lobby 1,Semifinals
4.0,Chimera,60,3,9,5,7,10,4,19,0,2,15,9,1,Lobby 1,Semifinals
5.0,BHT,54,1,5,7,4,3,5,6,3,16,0,2,3,Lobby 1,Semifinals
6.0,Los Makias,45,2,7,6,0,14,1,3,0,9,8,13,6,Lobby 1,Semifinals
7.0,KZN,36,19,0,2,6,4,5,4,3,7,0,20,0,Lobby 1,Semifinals
8.0,Slav Animals,35,6,1,3,4,6,4,17,0,4,3,5,1,Lobby 1,Semifinals
9.0,Aposentados,29,20,0,20,0,8,7,11,10,10,0,11,6,Lobby 1,Semifinals
10.0,Duty calls,29,10,6,18,0,15,2,9,6,11,4,7,2,Lobby 1,Semifinals
11.0,BRZ,26,18,2,17,0,1,8,15,0,15,0,10,0,Lobby 1,Semifinals
12.0,Fluxo Team,22,12,2,11,0,17,0,16,2,19,0,3,9,Lobby 1,Semifinals
13.0,SEM ORG,17,16,0,9,5,13,0,5,0,14,3,14,0,Lobby 1,Semifinals
14.0,PPEX,17,7,0,13,0,5,5,20,0,13,0,16,3,Lobby 1,Semifinals
15.0,Lovely Venom,16,8,0,19,0,11,0,7,1,3,0,12,1,Lobby 1,Semifinals
16.0,OMEGA,14,13,0,8,0,18,3,14,0,12,2,8,2,Lobby 1,Semifinals
17.0,BTH,12,14,1,10,3,7,0,10,0,17,0,19,0,Lobby 1,Semifinals
18.0,Seven,9,17,0,16,3,20,0,8,3,18,1,17,0,Lobby 1,Semifinals
19.0,QUAS,9,11,0,15,0,16,1,18,3,8,1,18,0,Lobby 1,Semifinals
20.0,Voy a Hacer,7,15,2,14,0,12,0,13,0,20,0,15,0,Lobby 1,Semifinals
1.0,Blagueur,85,3,9,20,2,5,12,3,11,1,18,17,3,Lobby 2,Semifinals
2.0,USB,59,9,5,18,0,11,1,2,10,6,7,2,12,Lobby 2,Semifinals
3.0,SLU,58,12,5,1,14,2,11,20,0,13,4,14,0,Lobby 2,Semifinals
4.0,Love Egirls,53,13,3,8,6,1,12,7,5,12,8,16,0,Lobby 2,Semifinals
5.0,Mystical,48,2,9,3,0,12,0,10,2,3,1,3,3,Lobby 2,Semifinals
6.0,AIM,43,20,0,2,17,16,1,12,4,20,0,8,9,Lobby 2,Semifinals
7.0,Morri Nem Vi,40,4,4,10,0,8,3,1,7,10,1,12,1,Lobby 2,Semifinals
8.0,AGCL,38,18,0,4,3,17,0,15,0,9,4,1,11,Lobby 2,Semifinals
9.0,As Misera,36,8,1,7,0,3,3,6,3,2,2,15,2,Lobby 2,Semifinals
10.0,AsheTeam,32,5,5,5,5,15,0,5,4,11,1,7,0,Lobby 2,Semifinals
11.0,ElemenT,30,7,1,14,3,4,5,11,3,7,4,11,0,Lobby 2,Semifinals
12.0,AK47,27,11,0,13,3,6,0,19,0,4,5,5,5,Lobby 2,Semifinals
13.0,Natural Killer,26,10,1,17,0,14,5,9,4,5,2,10,3,Lobby 2,Semifinals
