,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 12:00 BRTWorld's Edge FourG Team Ragnarok Team Green Umbrella Gaming","Round 1 Round 1 October 30, 2021 - 12:00 BRTWorld's Edge FourG Team Ragnarok Team Green Umbrella Gaming","Round 2 Round 2 October 30, 2021 - 12:30 BRTWorld's Edge CerditosMacabeos TBG ESPORTS NE1","Round 2 Round 2 October 30, 2021 - 12:30 BRTWorld's Edge CerditosMacabeos TBG ESPORTS NE1","Round 3 Round 3 October 30, 2021 - 13:00 BRTWorld's Edge Ragnarok Team Mystical Z Gravity","Round 3 Round 3 October 30, 2021 - 13:00 BRTWorld's Edge Ragnarok Team Mystical Z Gravity","Round 4 Round 4 October 30, 2021 - 13:30 BRTWorld's Edge Mafia Legends Solo Push KDT - Amber","Round 4 Round 4 October 30, 2021 - 13:30 BRTWorld's Edge Mafia Legends Solo Push KDT - Amber","Round 5 Round 5 October 30, 2021 - 14:00 BRTWorld's Edge Ragnarok Team KDT - Amber NE1","Round 5 Round 5 October 30, 2021 - 14:00 BRTWorld's Edge Ragnarok Team KDT - Amber NE1","Round 6 Round 6 October 30, 2021 - 14:30 BRTWorld's Edge UltiMaTuM Green Umbrella Gaming TBG ESPORTS","Round 6 Round 6 October 30, 2021 - 14:30 BRTWorld's Edge UltiMaTuM Green Umbrella Gaming TBG ESPORTS"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,Ragnarok Team,67,2,6,5,2,1,7,8,4,1,6,6,0
1,2.0,KDT - Amber,61,9,8,7,6,15,3,3,7,2,7,9,6
2,3.0,CerditosMacabeos,56,4,8,1,12,7,1,16,2,8,6,10,3
3,4.0,Chimera,54,16,2,6,4,4,8,13,8,9,4,4,12
4,5.0,UltiMaTuM,46,18,0,4,0,6,4,9,0,5,10,1,6
5,6.0,GUG,41,3,5,17,2,5,0,15,0,4,1,2,7
6,7.0,TBG,40,6,6,2,6,11,0,11,2,10,3,3,0
7,8.0,FourG Team,37,1,6,18,0,8,6,6,3,12,0,12,3
8,9.0,Mafia Legends,36,5,2,11,0,10,5,1,7,11,0,14,1
9,10.0,NE1,33,12,0,3,6,16,2,12,0,3,3,7,3
10,11.0,Mystical,25,17,0,10,4,2,2,10,1,15,0,8,2
11,12.0,Solo Push,24,8,1,19,0,17,0,2,5,13,0,5,2
12,13.0,Glitch Wabi Sabi,19,11,3,14,1,12,0,5,4,7,0,15,0
13,14.0,Tharsis,18,19,0,8,8,18,0,7,1,6,1,16,0
14,15.0,Z Gravity,18,10,0,13,0,3,1,4,1,16,0,13,0
15,16.0,AK47,13,13,2,9,1,13,0,14,0,14,4,20,0
16,17.0,Swift Movements,12,7,1,15,0,14,2,17,3,17,0,11,0
17,18.0,3g3Team,9,14,0,16,0,9,6,18,0,20,0,20,0
18,19.0,Legión de monos,2,15,0,12,0,20,0,20,0,20,0,20,0
