,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 12:00 BRTWorld's Edge Alpha Intelligence Esports GDb FourG Team","Round 1 Round 1 November 21, 2021 - 12:00 BRTWorld's Edge Alpha Intelligence Esports GDb FourG Team","Round 2 Round 2 November 21, 2021 - 12:35 BRTWorld's Edge Mystical PvPTeamSports Brotherhood","Round 2 Round 2 November 21, 2021 - 12:35 BRTWorld's Edge Mystical PvPTeamSports Brotherhood","Round 3 Round 3 November 21, 2021 - 13:10 BRTWorld's Edge Sunset raven's TBG ESPORTS AK47","Round 3 Round 3 November 21, 2021 - 13:10 BRTWorld's Edge Sunset raven's TBG ESPORTS AK47","Round 4 Round 4 November 21, 2021 - 13:45 BRTWorld's Edge Sunset raven's FourG Team Alpha Intelligence Esports","Round 4 Round 4 November 21, 2021 - 13:45 BRTWorld's Edge Sunset raven's FourG Team Alpha Intelligence Esports","Round 5 Round 5 November 21, 2021 - 14:20 BRTWorld's Edge CerditosMacabeos Team Cerberus FourG Team","Round 5 Round 5 November 21, 2021 - 14:20 BRTWorld's Edge CerditosMacabeos Team Cerberus FourG Team","Round 6 Round 6 November 21, 2021 - 14:55 BRTWorld's Edge Alpha Intelligence Esports Green Umbrella Gaming GDb","Round 6 Round 6 November 21, 2021 - 14:55 BRTWorld's Edge Alpha Intelligence Esports Green Umbrella Gaming GDb"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,AIE,92,1,15,5,6,9,3,3,13,12,4,1,13
1,2.0,GUG,46,4,8,6,5,8,2,16,0,4,1,2,6
2,3.0,CerditosMacabeos,45,20,0,19,1,5,8,17,2,1,15,12,2
3,4.0,BTH,43,11,3,3,8,4,8,14,3,18,0,4,2
4,5.0,Mystical,40,13,2,1,12,12,4,15,2,19,0,11,4
5,6.0,SST,39,7,0,8,3,1,14,18,3,11,0,16,1
6,7.0,FourG Team,39,3,2,9,0,17,1,2,3,3,4,6,1
7,8.0,KDT - Amber,37,8,8,12,1,11,1,4,4,8,5,10,5
8,9.0,TCS,37,6,6,17,0,10,2,11,0,2,7,8,5
9,10.0,AK47,33,12,0,15,5,3,8,10,4,14,3,17,1
10,11.0,GDb,33,2,4,11,0,7,6,13,0,16,0,3,2
11,12.0,ThreeBiden,32,5,4,18,0,19,0,7,5,7,7,14,5
12,13.0,PVP,23,17,0,2,2,20,0,6,0,10,3,5,0
13,14.0,Seven,22,14,0,4,5,16,0,8,4,13,1,7,0
14,15.0,TBG,18,10,1,14,0,2,0,5,0,15,0,18,0
15,16.0,O3,17,16,0,13,0,14,1,12,5,5,2,9,0
16,17.0,RAV,17,9,0,7,4,13,0,18,3,6,0,15,0
17,18.0,MFL-Escape,13,15,0,16,0,6,0,9,3,17,0,13,3
18,19.0,EZPIKERS,8,19,2,10,0,15,0,20,1,9,0,20,0
19,20.0,ROCKETZ TEAM,1,18,0,20,1,18,0,19,0,20,0,20,0
