Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BTH,95,3,5,1,14,3,14,10,1,7,1,1,17
2.0,CerditosMacabeos,83,1,17,5,8,7,2,1,15,6,6,11,0
3.0,SST,55,6,10,12,0,8,3,11,6,1,13,10,2
4.0,NAVY,53,2,7,2,9,6,6,4,4,14,0,0,0
5.0,O3,43,8,0,3,0,1,6,3,1,9,0,7,3
6.0,G.O.A.T Amber,42,12,2,6,4,14,3,2,5,3,6,13,0
7.0,TCS,38,15,1,15,0,4,4,5,1,11,6,2,5
8.0,TBG,33,11,0,8,0,2,0,7,1,2,2,4,1
9.0,Mafia Legends,23,13,0,13,0,9,0,14,3,13,3,3,4
10.0,MFL-Escape,23,5,1,9,3,5,1,13,0,8,0,8,3
11.0,EZPIKERS,22,14,0,4,0,11,0,9,0,4,2,5,2
12.0,Glitch Wabi Sabi,19,7,0,7,3,15,0,6,0,10,1,6,0
13.0,Shiba Inu,12,4,0,14,0,13,0,12,0,12,0,12,2
14.0,OASIS ULTIMATE,12,9,0,10,0,10,0,8,0,15,0,9,1
15.0,Team Why Not,11,10,0,11,0,12,1,15,0,5,0,14,0
16.0,Legión de monos,0,0,0,0,0,0,0,0,0,0,0,0,0
