Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,MP #
1.0,SNG,82,1,11,10,8,7,3,10,6,1,13,4
2.0,FNX,51,10,1,2,6,15,2,3,9,10,3,5
3.0,DFX,47,6,8,6,6,2,3,6,1,5,1,-
4.0,ELV,43,3,6,9,3,6,1,11,5,9,9,-
5.0,LNW,42,12,1,11,1,1,17,9,1,7,1,-
6.0,OF,38,5,3,4,6,5,3,14,4,19,0,-
7.0,1IQ,37,9,1,3,5,4,4,4,1,13,6,-
8.0,PTD,34,16,0,5,1,3,5,8,3,6,9,-
9.0,BRT,32,15,0,1,6,16,3,20,0,8,1,-
10.0,HRS,31,4,7,20,0,11,1,18,0,2,8,-
11.0,DYN,28,11,1,7,3,18,0,5,6,4,2,-
12.0,SBK,27,14,3,15,0,8,4,7,3,3,3,-
13.0,NKX,23,2,2,8,4,12,3,17,0,12,0,-
14.0,MVP,22,7,0,14,1,14,6,15,3,17,1,-
15.0,BRZ,20,17,0,17,0,10,0,1,5,11,0,-
16.0,Miau,18,18,0,19,0,20,0,2,9,16,0,-
17.0,FSN,10,20,0,13,4,9,1,12,1,18,0,-
18.0,BHT,7,19,2,18,0,13,0,13,1,14,1,-
19.0,SKC,6,8,4,16,0,19,0,19,0,20,0,-
20.0,USB,5,13,0,12,1,17,0,16,0,15,1,-
