C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
1.0,FNX,83,1,15,1,13,12,0,19,0,5,1,1,13,Round 10,,,,,
2.0,DYN,65,4,2,2,2,9,1,2,8,1,13,8,0,Round 10,,,,,
3.0,MVP,59,10,6,10,3,4,5,1,5,6,6,3,3,Round 10,,,,,
4.0,PRDX,49,7,2,16,1,1,13,8,4,4,3,5,0,Round 10,,,,,
5.0,SLU,40,18,0,12,5,2,5,3,7,7,3,16,0,Round 10,,,,,
6.0,PD,36,5,0,4,7,7,4,7,8,19,0,9,0,Round 10,,,,,
7.0,BRT,35,14,4,7,2,10,4,4,11,16,0,17,3,Round 10,,,,,
8.0,TC,34,6,0,14,7,18,3,11,0,15,6,6,9,Round 10,,,,,
9.0,SBK,30,16,0,5,3,6,10,13,0,3,0,14,1,Round 10,,,,,
10.0,WILD,29,13,0,9,3,15,2,18,1,9,5,2,3,Round 10,,,,,
11.0,CIA,29,3,6,18,0,8,4,5,3,20,0,7,0,Round 10,,,,,
12.0,SKC,28,2,10,19,0,16,0,16,3,13,5,18,0,Round 10,,,,,
13.0,DGL,28,11,4,13,0,3,1,10,0,11,1,11,9,Round 10,,,,,
14.0,As Misera,28,17,0,8,1,14,0,12,0,2,6,4,3,Round 10,,,,,
15.0,LNW,18,12,2,3,2,17,0,6,0,17,3,19,0,Round 10,,,,,
16.0,HRS,15,9,0,20,0,5,2,9,0,8,0,13,2,Round 10,,,,,
17.0,Slav Animals,14,8,2,6,3,11,1,20,0,14,1,20,0,Round 10,,,,,
18.0,OMEGA,7,20,0,11,0,20,0,15,0,18,1,15,3,Round 10,,,,,
19.0,Duty calls,6,19,0,15,0,13,0,14,0,12,0,10,0,Round 10,,,,,
20.0,Love Egirls,4,15,0,17,0,19,0,17,0,10,0,15,0,Round 10,,,,,
,BRT,86,1,13,6,9,15,0,1,12,8,5,2,8,Round 11,1.0,,,,
,FNX,59,5,8,4,7,2,12,13,0,13,1,5,7,Round 11,2.0,,,,
,HRS,57,13,1,5,2,1,8,7,4,2,6,7,4,Round 11,3.0,,,,
,TK,56,3,5,8,3,14,3,2,4,1,8,9,0,Round 11,4.0,,,,
