A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SNG,80,3,5,4,6,4,7,2,6,12,8,1,9
2.0,MVP,72,9,6,12,1,1,12,1,11,2,6,18,0
3.0,TC,61,1,15,3,9,12,1,9,3,3,4,17,0
4.0,SBK,45,11,1,1,11,14,1,17,4,17,0,3,7
5.0,FSN,45,7,0,2,5,3,3,8,3,7,0,4,5
6.0,DYN,43,17,1,14,2,5,3,3,0,1,11,14,1
7.0,DGL,40,6,5,9,3,8,6,11,1,4,5,9,5
8.0,DC,38,5,4,8,4,7,1,18,0,5,2,2,5
9.0,BHT,29,10,2,6,0,2,4,16,0,9,0,5,3
10.0,NG,28,2,2,17,0,13,1,13,5,10,3,10,2
11.0,WILD,25,4,1,16,0,10,4,4,1,6,0,7,1
12.0,SKC,23,12,2,13,2,9,2,5,5,14,3,16,0
13.0,KZN,20,15,0,5,0,18,0,7,0,8,3,8,5
14.0,AIM,19,13,0,10,3,16,1,14,1,11,3,6,3
15.0,PTD,19,8,3,15,0,6,1,6,2,15,0,11,2
16.0,ElemenT,16,18,0,7,2,15,2,10,2,16,0,13,3
17.0,OF,10,19,0,18,0,11,2,12,4,13,0,12,0
18.0,Love Egirls,4,14,0,11,0,17,0,15,0,18,0,15,0
19.0,Slav Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,SLU,0,0,0,0,0,0,0,0,0,0,0,0,0
