A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ELV,105,6,10,1,18,1,9,1,13,10,4,9,8
2.0,SNG,82,3,7,14,0,12,0,10,3,1,22,2,18
3.0,DFX,53,11,0,2,9,5,6,4,3,5,5,5,3
4.0,BRZ,52,7,2,7,3,8,5,7,2,2,4,1,4
5.0,FL,45,4,8,17,0,3,12,12,3,8,6,15,0
6.0,PTD,45,1,11,9,0,4,4,13,0,6,2,10,3
7.0,USB,35,18,0,10,3,13,1,5,3,3,2,3,5
8.0,DC,30,15,0,13,5,7,4,2,5,14,0,17,1
9.0,KZN,30,5,2,6,3,10,2,18,1,11,3,4,4
10.0,ODK,30,2,7,18,0,19,0,11,3,9,3,6,2
11.0,AIM,29,10,1,3,1,9,0,6,5,4,0,8,1
12.0,OF,28,8,3,4,3,14,3,3,1,13,1,14,0
13.0,FSN,26,9,0,11,4,2,2,17,3,7,1,12,0
14.0,NG,14,12,3,12,1,16,1,19,0,18,0,7,4
15.0,No Org,14,19,0,8,5,15,0,15,2,12,2,18,0
16.0,INS,14,17,0,19,0,6,4,8,3,15,1,19,0
17.0,ElemenT,10,16,0,5,0,11,0,14,3,19,0,13,0
18.0,TK,7,13,0,15,0,17,1,16,0,17,3,16,1
19.0,BHT,7,14,0,16,0,18,0,9,3,16,0,11,0
20.0,Natural Killer,0,0,0,0,0,0,0,0,0,0,0,0,0
