,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings
,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
0,1.0,SNG,66,12,12,12,9,9,12
1,2.0,FNX,44,7,4,5,7,12,9
2,3.0,FL,42,12,5,7,12,3,3
3,4.0,BRT,39,2,9,1,12,3,12
4,5.0,DFX,37,2,9,12,5,7,2
5,6.0,MVP,36,1,12,4,3,7,9
6,7.0,ELV,34,5,7,3,3,12,4
7,8.0,DYN,25,1,3,7,2,9,3
8,9.0,LNW,24,1,7,9,5,1,1
9,10.0,TC,19,2,5,1,2,2,7
10,11.0,BRZ,19,2,2,1,7,5,2
11,12.0,SBK,19,0,1,2,9,2,5
12,13.0,SKC,18,9,1,2,4,1,1
13,14.0,HRS,18,4,2,1,4,0,7
14,15.0,PTD,16,9,2,0,0,4,1
15,16.0,BHT,15,2,0,9,2,0,2
16,17.0,DC,14,2,3,2,3,2,2
17,18.0,FSN,14,0,4,3,2,1,4
18,19.0,KZN,14,5,1,3,2,2,1
19,20.0,USB,14,7,1,1,1,3,1
20,21.0,WILD,13,3,2,5,1,1,1
21,22.0,CIA,13,1,3,1,3,2,3
22,23.0,PD,12,3,0,4,1,3,1
23,24.0,TK,11,0,2,2,2,0,5
24,25.0,INS,10,4,1,3,0,1,1
25,26.0,ODK,10,3,3,0,1,2,1
26,27.0,PRDX,9,1,1,0,0,5,2
27,28.0,As Misera,7,3,0,2,1,1,0
28,29.0,DGL,6,1,1,0,0,1,3
29,30.0,OMEGA,5,1,2,2,0,0,0
30,31.0,AIM,5,1,0,1,1,1,1
31,32.0,SLU,5,0,1,0,0,4,-
32,33.0,OF,4,0,1,1,1,1,0
33,34.0,Slav Animals,3,1,0,1,1,0,-
34,35.0,NG,3,0,0,0,0,1,2
35,36.0,Love Egirls,2,0,0,1,1,0,0
36,37.0,ElemenT,2,0,1,0,1,0,0
37,38.0,No Org,1,1,0,0,0,0,-
38,39.0,Duty calls,0,0,0,0,0,0,0
39,40.0,Natural Killer,0,0,0,0,0,0,-
