,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 BRTWorld's Edge Plaq Tu Dum ODDIK Team Singularity","Round 1 Round 1 December 4, 2021 - 12:00 BRTWorld's Edge Plaq Tu Dum ODDIK Team Singularity","Round 2 Round 2 December 4, 2021 - 12:35 BRTWorld's Edge Elevate Team DeftFox JUST AIM","Round 2 Round 2 December 4, 2021 - 12:35 BRTWorld's Edge Elevate Team DeftFox JUST AIM","Round 3 Round 3 December 4, 2021 - 13:10 BRTWorld's Edge Elevate FusioN E-Sport Fake Love E-Sports","Round 3 Round 3 December 4, 2021 - 13:10 BRTWorld's Edge Elevate FusioN E-Sport Fake Love E-Sports","Round 4 Round 4 December 4, 2021 - 13:45 BRTWorld's Edge Elevate Dream Conspiracy OnlyFlans","Round 4 Round 4 December 4, 2021 - 13:45 BRTWorld's Edge Elevate Dream Conspiracy OnlyFlans","Round 5 Round 5 December 4, 2021 - 14:20 BRTWorld's Edge Team Singularity BreakingRulleZ Union eSports Br","Round 5 Round 5 December 4, 2021 - 14:20 BRTWorld's Edge Team Singularity BreakingRulleZ Union eSports Br","Round 6 Round 6 December 4, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Team Singularity Union eSports Br","Round 6 Round 6 December 4, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Team Singularity Union eSports Br"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ELV,105,63,1010,112,1818,112,99,112,1313,102,44,92,88
1,2.0,SNG,82,37,77,141,0,121,0,102,33,112,2222,29,1818
2,3.0,DFX,53,111,0,29,99,54,66,45,33,54,55,54,33
3,4.0,BRZ,52,73,22,73,33,82,55,73,22,29,44,112,44
4,5.0,FL,45,45,88,170,0,37,1212,121,33,82,66,151,0
5,6.0,PTD,45,112,1111,92,0,45,44,131,0,63,22,102,33
6,7.0,USB,35,180,0,102,33,131,11,54,33,37,22,37,55
7,8.0,DC,30,151,0,131,55,73,44,29,55,141,0,170,11
8,9.0,KZN,30,54,22,63,33,102,22,180,11,111,33,45,44
9,10.0,ODK,30,29,77,180,0,190,0,111,33,92,33,63,22
10,11.0,AIM,29,102,11,37,11,92,0,63,55,45,0,82,11
11,12.0,OF,28,82,33,45,33,141,33,37,11,131,11,141,0
12,13.0,FSN,26,92,0,111,44,29,22,170,33,73,11,121,0
13,14.0,NG,14,121,33,121,11,160,11,190,0,180,0,73,44
14,15.0,No Org,14,190,0,82,55,151,0,151,22,121,22,180,0
15,16.0,INS,14,170,0,190,0,63,44,82,33,151,11,190,0
16,17.0,ElemenT,10,160,0,54,0,111,0,141,33,190,0,131,0
17,18.0,TK,7,131,0,151,0,170,11,160,0,170,33,160,11
18,19.0,BHT,7,141,0,160,0,180,0,92,33,160,0,111,0
19,20.0,Natural Killer,0,0,0,0,0,0,0,0,0,0,0,0,0
